"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Mauricio Llovera","Phillies","0","0","4.74","0","1","0","1.0","1","1","0","1","0","1.38","8.93","3.73","4.90","0.0","0.0","999.0","20080"
"Melvin Adon","Giants","0","0","4.43","0","1","0","1.0","1","0","0","1","1","1.49","8.57","4.78","4.59","0.0","0.0","999.0","sa873314"
"Luke Leftwich","Phillies","0","0","4.87","0","1","0","1.0","1","1","0","1","0","1.44","9.15","4.27","5.00","0.0","0.0","999.0","sa857567"
"Ryan Meisinger","","0","0","4.72","0","1","0","1.0","1","1","0","1","0","1.42","8.75","3.95","4.82","0.0","0.0","999.0","18105"
"Jamie Callahan","Giants","0","0","4.50","0","1","0","1.0","1","1","0","1","0","1.41","8.42","3.83","4.59","0.0","0.0","999.0","14711"
"Trevor Frank","","0","0","4.79","0","1","0","1.0","1","1","0","1","0","1.41","8.23","3.70","4.93","0.0","0.0","999.0","sa737842"
"Tyler Erwin","","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.52","7.39","4.44","5.30","0.0","0.0","999.0","sa918535"
"Casey Lawrence","","0","0","4.83","0","1","0","1.0","1","1","0","1","0","1.39","7.24","2.90","4.93","0.0","0.0","999.0","11121"
"Carlos Fisher","","0","0","4.80","0","1","0","1.0","1","1","0","1","0","1.49","8.05","4.35","4.93","0.0","0.0","999.0","9832"
"Tyler Cyr","Giants","0","0","4.46","0","1","0","1.0","1","0","0","1","0","1.45","8.56","4.43","4.60","0.0","0.0","999.0","sa875270"
"Nestor Cortes","","0","0","4.77","0","1","0","1.0","1","1","0","1","0","1.40","8.27","3.85","5.17","0.0","0.0","999.0","17874"
"Steven Okert","","0","0","4.71","0","1","0","1.0","1","1","0","1","0","1.36","8.85","3.52","4.93","0.0","0.0","999.0","13580"
"Adam McCreery","","0","0","4.60","0","1","0","1.0","1","1","0","1","1","1.56","8.47","5.31","4.93","0.0","0.0","999.0","19550"
"Damien Magnifico","","0","0","4.74","0","1","0","1.0","1","1","0","1","1","1.53","8.53","4.99","4.93","0.0","0.0","999.0","13395"
"Radhames Liz","","0","0","4.67","0","1","0","1.0","1","1","0","1","0","1.44","8.92","4.38","4.86","0.0","0.0","999.0","5843"
"John Gorman","","0","0","4.84","0","1","0","1.0","1","1","0","1","0","1.43","7.96","3.70","4.94","0.0","0.0","999.0","sa602627"
"Jacob Haberer","Mariners","0","0","4.67","0","1","0","1.0","1","1","0","1","1","1.49","9.09","5.07","4.97","0.0","0.0","999.0","sa3008514"
"Joe Biagini","Cubs","0","0","4.71","0","1","0","1.0","1","1","0","1","0","1.45","7.34","3.68","4.76","0.0","0.0","999.0","13194"
"Corey Oswalt","Mets","0","0","4.54","0","1","0","1.0","1","1","0","1","0","1.32","8.19","2.80","4.69","0.0","0.0","999.0","13677"
"Tyler Rogers","Giants","3","3","4.29","0","63","8","63.0","65","30","7","50","25","1.43","7.12","3.53","4.40","0.0","0.1","545.1","15541"
"Yuhei Nakaushiro","","0","0","4.72","0","1","0","1.0","1","1","0","1","0","1.47","8.41","4.34","4.94","0.0","0.0","999.0","sa653446"
"Phil Coke","","0","0","4.75","0","1","0","1.0","1","1","0","1","0","1.42","7.70","3.45","4.94","0.0","0.0","999.0","5535"
"Matthew Tenuta","","0","0","4.68","0","1","0","1.0","1","1","0","1","0","1.47","7.76","4.11","4.94","0.0","0.0","999.0","sa658605"
"Matt Carasiti","Red Sox","0","0","4.91","0","1","0","1.0","1","1","0","1","0","1.45","8.01","3.87","4.90","0.0","0.0","999.0","13276"
"Ben Lively","Diamondbacks","0","0","4.81","0","1","0","1.0","1","1","0","1","0","1.38","8.04","3.25","4.84","0.0","0.0","999.0","14932"
"Vincenzo Aiello","","0","0","4.81","0","1","0","1.0","1","1","0","1","0","1.46","8.34","4.21","4.94","0.0","0.0","999.0","sa3004320"
"Marc Rzepczynski","","0","0","4.59","0","1","0","1.0","1","1","0","1","1","1.60","7.34","5.12","4.93","0.0","0.0","999.0","6612"
"Robert Zarate","","0","0","4.71","0","1","0","1.0","1","1","0","1","0","1.46","8.29","4.21","4.93","0.0","0.0","999.0","sa471754"
"Mitchell Osnowitz","","0","0","4.82","0","1","0","1.0","1","1","0","1","0","1.51","8.01","4.45","4.95","0.0","0.0","999.0","sa833270"
"Derian Gonzalez","","0","0","4.62","0","1","0","1.0","1","1","0","1","0","1.46","7.84","4.13","4.81","0.0","0.0","999.0","sa737568"
"Matthew Festa","Mariners","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.41","8.23","3.97","4.99","0.0","0.0","999.0","19330"
"Adam Choplick","","0","0","4.68","0","1","0","1.0","1","1","0","1","1","1.50","8.49","4.74","4.95","0.0","0.0","999.0","sa598307"
"Randall Delgado","","0","0","4.85","0","1","0","1.0","1","1","0","1","0","1.41","7.49","3.26","4.95","0.0","0.0","999.0","5985"
"Hunter Schryver","","0","0","4.70","0","1","0","1.0","1","1","0","1","0","1.48","8.25","4.40","5.02","0.0","0.0","999.0","sa873263"
"R.J. Alvarez","","0","0","4.57","0","1","0","1.0","1","1","0","1","0","1.44","8.85","4.44","4.73","0.0","0.0","999.0","13401"
"Miguel Sanchez","Brewers","0","0","4.70","0","1","0","1.0","1","1","0","1","0","1.41","8.53","3.90","4.88","0.0","0.0","999.0","sa916730"
"Tyler Stevens","","0","0","4.58","0","1","0","1.0","1","1","0","1","0","1.40","8.62","3.96","4.73","0.0","0.0","999.0","sa915801"
"Enderson Franco","","0","0","4.82","0","1","0","1.0","1","1","0","1","0","1.36","8.12","3.15","4.96","0.0","0.0","999.0","11896"
"David Peterson","","0","0","4.84","0","1","0","1.0","1","1","0","1","0","1.48","7.30","3.90","4.96","0.0","0.0","999.0","sa603091"
"Jordan Harrison","","0","0","4.65","0","1","0","1.0","1","1","0","1","1","1.53","7.96","4.81","4.96","0.0","0.0","999.0","sa502697"
"Josh Edgin","","0","0","4.47","0","1","0","1.0","1","0","0","1","0","1.45","8.50","4.41","4.81","0.0","0.0","999.0","10796"
"Roberto Gomez","","0","0","4.88","0","1","0","1.0","1","1","0","1","0","1.44","7.58","3.51","4.96","0.0","0.0","999.0","12963"
"Matt Ramsey","","0","0","4.96","0","1","0","1.0","1","1","0","1","0","1.46","8.22","3.90","5.05","0.0","0.0","999.0","14460"
"Jovani Moran","","0","0","4.69","0","1","0","1.0","1","1","0","1","1","1.53","9.54","5.62","5.03","0.0","0.0","999.0","sa875188"
"Erik Davis","","0","0","4.68","0","1","0","1.0","1","1","0","1","0","1.45","7.80","3.95","4.88","0.0","0.0","999.0","8422"
"Denny Bentley","","0","0","4.76","0","1","0","1.0","1","1","0","1","1","1.49","8.44","4.63","5.03","0.0","0.0","999.0","sa3007931"
"Mike Wright Jr.","White Sox","0","0","4.87","0","1","0","1.0","1","1","0","1","0","1.39","8.19","3.28","5.03","0.0","0.0","999.0","12586"
"Jimmie Sherfy","","0","0","4.75","0","1","0","1.0","1","1","0","1","0","1.43","9.17","4.29","4.86","0.0","0.0","999.0","15118"
"Robert Orlan","","0","0","4.72","0","1","0","1.0","1","1","0","1","0","1.49","8.36","4.48","4.96","0.0","0.0","999.0","sa503562"
"Atahualpa Severino","","0","0","4.72","0","1","0","1.0","1","1","0","1","1","1.49","8.43","4.59","4.97","0.0","0.0","999.0","5332"
"Patrick Ruotolo","Giants","0","0","4.48","0","1","0","1.0","1","0","0","1","0","1.42","9.23","4.46","4.63","0.0","0.0","999.0","sa856262"
"Matt Albers","","0","0","4.89","0","1","0","1.0","1","1","0","1","0","1.47","7.96","3.91","4.97","0.0","0.0","999.0","4300"
"Locke St. John","","0","0","4.99","0","1","0","1.0","1","1","0","1","1","1.52","8.17","4.68","5.25","0.0","0.0","999.0","16850"
"Chad Bell","","0","0","4.74","0","1","0","1.0","1","1","0","1","0","1.42","8.00","3.69","4.97","0.0","0.0","999.0","10297"
"Ryan O'Rourke","","0","0","4.66","0","1","0","1.0","1","1","0","1","1","1.49","8.61","4.79","4.97","0.0","0.0","999.0","10976"
"Dan Runzler","","0","0","4.65","0","1","0","1.0","1","1","0","1","0","1.47","8.21","4.32","4.86","0.0","0.0","999.0","4080"
"Aaron Kurcz","","0","0","4.72","0","1","0","1.0","1","1","0","1","0","1.38","8.71","3.69","4.89","0.0","0.0","999.0","sa549903"
"Nick Ramirez","Padres","0","0","4.52","0","1","0","1.0","1","1","0","1","0","1.45","8.12","4.06","4.73","0.0","0.0","999.0","12575"
"Dominic Leone","Giants","0","0","4.30","0","8","0","8.0","7","4","1","9","4","1.36","9.73","4.02","4.39","0.0","0.0","999.0","13763"
"Nicholas Wiper","","0","0","4.82","0","1","0","1.0","1","1","0","1","0","1.50","7.47","4.14","4.97","0.0","0.0","999.0","sa599160"
"Chris Ellis","","0","0","4.85","0","1","0","1.0","1","1","0","1","0","1.45","7.81","3.96","4.98","0.0","0.0","999.0","16125"
"Enrique Burgos","","0","0","4.82","0","1","0","1.0","1","1","0","1","0","1.47","8.90","4.49","4.87","0.0","0.0","999.0","3895"
"Zach Neal","","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.40","6.41","2.57","4.97","0.0","0.0","999.0","11294"
"Miguel Almonte","","0","0","4.84","0","1","0","1.0","1","1","0","1","0","1.50","8.08","4.46","4.97","0.0","0.0","999.0","14139"
"Phoenix Sanders","Rays","0","0","4.61","0","1","0","1.0","1","1","0","1","0","1.46","8.48","4.47","4.85","0.0","0.0","999.0","sa3004098"
"Alex McRae","White Sox","0","0","4.77","0","1","0","1.0","1","1","0","1","0","1.42","7.94","3.59","4.94","0.0","0.0","999.0","16317"
"Michael Rucker","Cubs","0","0","4.79","0","1","0","1.0","1","1","0","1","0","1.40","8.19","3.59","4.90","0.0","0.0","999.0","sa919117"
"Luis Vasquez","","0","0","4.80","0","1","0","1.0","1","1","0","1","1","1.52","9.17","5.17","4.98","0.0","0.0","999.0","sa393198"
"Justin Grimm","","0","0","5.06","0","1","0","1.0","1","1","0","1","1","1.49","8.94","4.57","5.18","0.0","0.0","999.0","11720"
"Jonathan Broxton","","0","0","4.88","0","1","0","1.0","1","1","0","1","0","1.48","8.10","4.19","4.98","0.0","0.0","999.0","4759"
"Curtis Taylor","Blue Jays","0","0","4.92","0","1","0","1.0","1","1","0","1","0","1.42","8.79","4.07","5.10","0.0","0.0","999.0","sa917970"
"Brad Goldberg","","0","0","4.81","0","1","0","1.0","1","1","0","1","1","1.54","8.84","5.21","4.98","0.0","0.0","999.0","14776"
"Kyle Crockett","","0","0","4.95","0","1","0","1.0","1","1","0","1","0","1.47","7.64","3.66","5.08","0.0","0.0","999.0","15033"
"Koda Glover","","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.44","8.22","3.90","5.02","0.0","0.0","999.0","17695"
"Jake Barrett","","0","0","5.02","0","1","0","1.0","1","1","0","1","0","1.49","8.60","4.47","5.19","0.0","0.0","999.0","13322"
"Miguel Del Pozo","Tigers","0","0","4.94","0","1","0","1.0","1","1","0","1","1","1.53","8.76","4.91","5.08","0.0","0.0","999.0","18792"
"Erasmo Pinales","","0","0","4.82","0","1","0","1.0","1","1","0","1","1","1.49","9.14","4.89","4.98","0.0","0.0","999.0","sa795280"
"Eddie Gamboa","","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.43","8.07","3.93","4.86","0.0","0.0","999.0","6911"
"Josh Lueke","","0","0","4.88","0","1","0","1.0","1","1","0","1","0","1.43","7.72","3.60","4.98","0.0","0.0","999.0","5722"
"Daniel Gibson","","0","0","4.75","0","1","0","1.0","1","1","0","1","0","1.48","8.40","4.42","4.99","0.0","0.0","999.0","sa549733"
"Dusty Isaacs","","0","0","4.86","0","1","0","1.0","1","1","0","1","0","1.46","8.68","4.34","4.99","0.0","0.0","999.0","sa550364"
"Gabriel Moya","","0","0","4.75","0","1","0","1.0","1","1","0","1","0","1.41","8.48","3.89","4.99","0.0","0.0","999.0","16348"
"John Fasola","","0","0","4.87","0","1","0","1.0","1","1","0","1","0","1.50","7.88","4.30","4.99","0.0","0.0","999.0","sa550022"
"Tony Sipp","","0","0","4.76","0","1","0","1.0","1","1","0","1","0","1.44","8.42","4.04","4.99","0.0","0.0","999.0","8280"
"David Hernandez","","0","0","4.87","0","1","0","1.0","1","1","0","1","0","1.40","8.61","3.68","4.99","0.0","0.0","999.0","4259"
"Joseph Navilhon","","0","0","5.18","0","1","0","1.0","1","1","0","1","0","1.43","7.86","3.44","5.18","0.0","0.0","999.0","sa918459"
"Sam Tuivailala","","0","0","4.92","0","1","0","1.0","1","1","0","1","0","1.45","7.74","3.70","4.99","0.0","0.0","601.0","13485"
"Tony Zych","","0","0","4.85","0","1","0","1.0","1","1","0","1","0","1.48","7.78","4.17","4.99","0.0","0.0","999.0","12876"
"Anthony McIver","","0","0","4.77","0","1","0","1.0","1","1","0","1","0","1.46","7.86","3.94","4.99","0.0","0.0","999.0","sa875625"
"Corey Taylor","Mets","0","0","4.63","0","1","0","1.0","1","1","0","1","0","1.41","7.44","3.50","4.84","0.0","0.0","999.0","sa827144"
"Austin Mason","","0","0","4.85","0","1","0","1.0","1","1","0","1","0","1.50","7.89","4.38","4.99","0.0","0.0","999.0","sa875720"
"Cooper Casad","","0","0","4.88","0","1","0","1.0","1","1","0","1","0","1.48","7.64","3.98","4.99","0.0","0.0","999.0","sa3008135"
"Brad Ziegler","","0","0","4.81","0","1","0","1.0","1","1","0","1","0","1.56","5.58","3.73","4.89","0.0","0.0","999.0","7293"
"Jhan Marinez","","0","0","5.13","0","1","0","1.0","1","1","0","1","0","1.53","7.21","4.37","5.37","0.0","0.0","999.0","5830"
"Edwar Colina","Twins","0","0","4.58","0","8","0","8.0","8","4","1","8","4","1.44","8.88","4.47","4.78","0.0","0.1","999.0","20589"
"Ryan Clark","Angels","0","0","4.95","0","1","0","1.0","1","1","0","1","0","1.45","8.78","4.14","5.09","0.0","0.0","999.0","sa875057"
"Chad Qualls","","0","0","4.95","0","1","0","1.0","1","1","0","1","0","1.46","6.83","3.30","5.00","0.0","0.0","999.0","2170"
"Braden Shipley","Reds","0","0","5.09","0","1","0","1.0","1","1","0","1","0","1.47","8.15","3.81","5.10","0.0","0.0","999.0","15158"
"Daniel Dopico","White Sox","0","0","4.84","0","1","0","1.0","1","1","0","1","1","1.50","9.00","4.90","5.07","0.0","0.0","999.0","sa875346"
"Wyatt Short","Cubs","0","0","4.60","0","1","0","1.0","1","1","0","1","1","1.48","8.27","4.62","4.92","0.0","0.0","999.0","sa874187"
"Ian Krol","Tigers","1","1","4.83","0","15","0","15.0","15","8","2","13","7","1.50","8.04","4.38","4.99","0.0","0.0","999.0","10066"
"Tommy Layne","","0","0","4.72","0","1","0","1.0","1","1","0","1","0","1.48","7.29","3.98","5.00","0.0","0.0","999.0","7501"
"Donnie Hart","","0","0","4.78","0","1","0","1.0","1","1","0","1","0","1.50","6.36","3.72","5.00","0.0","0.0","999.0","15306"
"Travis Ott","Rays","0","0","4.53","0","1","0","1.0","1","1","0","1","0","1.42","9.05","4.46","4.88","0.0","0.0","999.0","sa738460"
"Andrew Suarez","","0","0","4.72","0","1","0","1.0","1","1","0","1","0","1.43","7.22","3.25","4.90","0.0","0.0","999.0","18300"
"Sterling Sharp","","0","0","4.49","0","1","0","1.0","1","0","0","1","0","1.47","6.28","3.56","4.68","0.0","0.0","999.0","19671"
"Luke Eubank","","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.48","8.33","4.26","5.01","0.0","0.0","999.0","sa829342"
"Adam Cimber","Marlins","2","2","4.58","0","42","0","42.0","45","21","5","30","15","1.45","6.36","3.31","4.73","0.0","-0.1","999.0","15288"
"Simon Mathews","Angels","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.53","7.29","4.32","5.10","0.0","0.0","999.0","sa915665"
"Tanner Chleborad","","0","0","5.16","0","1","0","1.0","1","1","0","1","0","1.51","6.98","3.96","5.39","0.0","0.0","999.0","sa599273"
"Luis Pena","","0","0","4.83","0","1","0","1.0","1","1","0","1","1","1.48","8.75","4.64","5.01","0.0","0.0","999.0","sa837845"
"Jarret Martin","","0","0","4.65","0","1","0","1.0","1","1","0","1","1","1.57","8.53","5.46","5.01","0.0","0.0","999.0","sa455420"
"Rob Scahill","","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.52","7.16","4.12","5.01","0.0","0.0","999.0","9286"
"Charles Weickel","","0","0","5.15","0","1","0","1.0","1","1","0","1","0","1.50","7.22","4.02","5.30","0.0","0.0","999.0","sa657871"
"Jonathon Olczak","","0","0","4.88","0","1","0","1.0","1","1","0","1","0","1.43","8.04","3.78","5.01","0.0","0.0","999.0","sa875297"
"Werner Leal","","0","0","4.86","0","1","0","1.0","1","1","0","1","0","1.44","8.17","3.98","5.01","0.0","0.0","999.0","sa737001"
"Joel Kuhnel","","0","0","4.97","0","1","0","1.0","1","1","0","1","0","1.45","8.35","3.84","5.01","0.0","0.0","999.0","19995"
"Alex Wilson","","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.45","6.95","3.30","5.01","0.0","0.0","999.0","9239"
"Horacio Ramirez","","0","0","4.79","0","1","0","1.0","1","1","0","1","0","1.46","6.60","3.41","5.01","0.0","0.0","999.0","110"
"Jim Johnson","","0","0","4.98","0","1","0","1.0","1","1","0","1","0","1.50","7.23","3.89","5.01","0.0","0.0","999.0","3656"
"Leonel Campos","","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.46","8.32","4.06","5.01","0.0","0.0","999.0","12277"
"Shawn Morimando","Marlins","0","0","4.57","0","1","0","1.0","1","1","0","1","0","1.41","8.09","3.69","4.79","0.0","0.0","999.0","13606"
"Josh D. Smith","","0","0","4.62","0","1","0","1.0","1","1","0","1","0","1.43","8.92","4.36","4.92","0.0","0.0","999.0","13629"
"Kaleb Ort","","0","0","5.00","0","1","0","1.0","1","1","0","1","1","1.54","9.51","5.44","5.23","0.0","0.0","999.0","sa3002783"
"Logan Verrett","","0","0","4.96","0","1","0","1.0","1","1","0","1","0","1.42","7.61","3.18","5.02","0.0","0.0","999.0","12905"
"Adam Conley","","0","0","4.78","0","1","0","1.0","1","1","0","1","0","1.42","8.03","3.69","5.02","0.0","0.0","999.0","14457"
"Kevin Hill","","0","0","4.89","0","1","0","1.0","1","1","0","1","0","1.48","8.33","4.32","5.02","0.0","0.0","999.0","sa918587"
"Wladimir Pinto","Tigers","0","0","5.13","0","1","0","1.0","1","1","0","1","1","1.56","9.32","5.48","5.22","0.0","0.0","999.0","sa871482"
"Carlos Navas","Diamondbacks","0","0","4.89","0","1","0","1.0","1","1","0","1","0","1.39","8.00","3.31","4.92","0.0","0.0","999.0","sa550615"
"Samir Vivas","","0","0","4.87","0","1","0","1.0","1","1","0","1","1","1.50","8.52","4.64","5.03","0.0","0.0","999.0","sa827957"
"Jesus Zambrano","Athletics","0","0","4.80","0","1","0","1.0","1","1","0","1","0","1.48","7.36","4.04","4.93","0.0","0.0","999.0","sa737066"
"Samuel Wolff","Giants","0","0","4.57","0","1","0","1.0","1","1","0","1","0","1.41","8.77","4.09","4.69","0.0","0.0","999.0","sa503437"
"Cody Carroll","Orioles","0","0","5.06","0","1","0","1.0","1","1","0","1","1","1.51","8.84","4.92","5.32","0.0","0.0","999.0","17664"
"Cameron Gann","","0","0","4.86","0","1","0","1.0","1","1","0","1","1","1.49","8.76","4.57","4.93","0.0","0.0","999.0","sa875845"
"Leovanny Rodriguez","Astros","0","0","4.78","0","1","0","1.0","1","1","0","1","0","1.45","8.21","4.08","4.96","0.0","0.0","999.0","sa878421"
"Eric O'Flaherty","","0","0","4.83","0","1","0","1.0","1","1","0","1","0","1.48","7.53","4.01","5.03","0.0","0.0","999.0","5746"
"Chad Bettis","","0","0","4.97","0","1","0","1.0","1","1","0","1","0","1.47","6.46","3.09","5.03","0.0","0.0","999.0","10587"
"Xavier Cedeno","","0","0","4.78","0","1","0","1.0","1","1","0","1","1","1.55","7.41","4.62","5.03","0.0","0.0","999.0","36"
"Seth Martinez","Astros","0","0","4.82","0","1","0","1.0","1","1","0","1","0","1.45","7.68","3.76","4.96","0.0","0.0","999.0","sa918364"
"Neil Ramirez","","0","0","4.92","0","1","0","1.0","1","1","0","1","0","1.39","9.68","4.09","5.03","0.0","0.0","999.0","7677"
"Rayan Gonzalez","","0","0","4.88","0","1","0","1.0","1","1","0","1","0","1.51","7.98","4.50","5.03","0.0","0.0","999.0","sa455370"
"Ryan Moseley","Dodgers","0","0","4.62","0","1","0","1.0","1","1","0","1","1","1.56","7.25","4.88","4.92","0.0","0.0","999.0","sa738670"
"Trevor Hildenberger","Mets","0","0","4.71","0","1","0","1.0","1","1","0","1","0","1.41","7.08","3.28","4.88","0.0","0.0","999.0","17002"
"David Speer","","0","0","4.84","0","1","0","1.0","1","1","0","1","0","1.48","6.95","3.72","5.03","0.0","0.0","999.0","sa827385"
"Anthony Vizcaya","","0","0","4.96","0","1","0","1.0","1","1","0","1","0","1.48","8.25","4.40","5.11","0.0","0.0","999.0","sa657689"
"Gregory Infante","","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.42","7.92","3.52","5.10","0.0","0.0","999.0","9119"
"Glenn Sparkman","Twins","0","0","5.03","0","5","0","5.0","6","3","1","4","1","1.40","6.65","2.55","5.11","0.0","0.0","999.0","15200"
"Andrew Thome","","0","0","4.88","0","1","0","1.0","1","1","0","1","0","1.51","7.12","4.14","5.04","0.0","0.0","999.0","sa827462"
"Logan Ondrusek","","0","0","4.93","0","1","0","1.0","1","1","0","1","0","1.43","7.75","3.54","5.04","0.0","0.0","999.0","3677"
"Drew Rucinski","Marlins","0","0","4.68","0","1","0","1.0","1","1","0","1","0","1.44","7.17","3.58","4.81","0.0","0.0","999.0","12499"
"Arcenio Leon","","0","0","4.90","0","1","0","1.0","1","1","0","1","0","1.50","7.63","4.25","5.04","0.0","0.0","999.0","8846"
"Justin Kamplain","","0","0","4.97","0","1","0","1.0","1","1","0","1","1","1.52","8.13","4.58","5.24","0.0","0.0","999.0","sa599231"
"Jesse Stallings","Reds","0","0","5.08","0","1","0","1.0","1","1","0","1","0","1.49","7.28","3.68","5.14","0.0","0.0","999.0","sa915635"
"Dylan Rheault","","0","0","4.92","0","1","0","1.0","1","1","0","1","0","1.50","7.69","4.25","5.04","0.0","0.0","999.0","sa738309"
"Trevor Lane","Yankees","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.49","7.88","4.18","5.25","0.0","0.0","999.0","sa918196"
"Rodney Smith","Rockies","0","0","5.24","0","1","0","1.0","1","1","0","1","1","1.63","8.09","5.45","5.31","0.0","0.0","999.0","sa875373"
"Jumbo Diaz","","0","0","4.66","0","1","0","1.0","1","1","0","1","0","1.43","8.64","4.28","4.92","0.0","0.0","999.0","3397"
"Dean Kiekhefer","","0","0","4.85","0","1","0","1.0","1","1","0","1","0","1.46","6.43","3.27","5.04","0.0","0.0","999.0","10529"
"Bryan Dobzanski","Nationals","0","0","4.87","0","1","0","1.0","1","1","0","1","1","1.53","8.08","4.82","5.08","0.0","0.0","999.0","sa829656"
"Chris Rusin","","0","0","4.95","0","1","0","1.0","1","1","0","1","0","1.53","5.78","3.66","5.24","0.0","0.0","999.0","9895"
"Joey Krehbiel","Rays","0","0","4.66","0","1","0","1.0","1","1","0","1","1","1.47","8.85","4.82","4.92","0.0","0.0","999.0","13707"
"Ronel Blanco","Astros","0","0","4.77","0","1","0","1.0","1","1","0","1","1","1.48","8.67","4.59","4.97","0.0","0.0","999.0","sa919082"
"Tucker Healy","","0","0","4.95","0","1","0","1.0","1","1","0","1","0","1.43","8.59","3.97","5.05","0.0","0.0","999.0","sa621510"
"Thomas Pannone","Angels","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.40","8.63","3.64","5.14","0.0","0.0","999.0","17281"
"Adam Ravenelle","","0","0","5.26","0","1","0","1.0","1","1","0","1","0","1.53","8.02","4.34","5.24","0.0","0.0","999.0","sa602703"
"Peter Moylan","","0","0","4.87","0","1","0","1.0","1","1","0","1","0","1.56","6.81","4.33","5.05","0.0","0.0","999.0","4891"
"Joseph Colon","","0","0","4.96","0","1","0","1.0","1","1","0","1","0","1.45","8.16","3.78","5.03","0.0","0.0","999.0","4920"
"Braden Bristo","Yankees","0","0","5.09","0","1","0","1.0","1","1","0","1","1","1.51","8.37","4.50","5.26","0.0","0.0","999.0","sa918549"
"Ronald Pena","","0","0","4.90","0","1","0","1.0","1","1","0","1","1","1.52","8.47","4.82","5.09","0.0","0.0","999.0","sa658287"
"Dalbert Siri","Indians","0","0","4.86","0","1","0","1.0","1","1","0","1","1","1.53","8.96","5.17","5.04","0.0","0.0","999.0","sa873148"
"Mike Kickham","Dodgers","0","0","4.62","0","1","0","1.0","1","1","0","1","0","1.40","7.63","3.35","4.84","0.0","0.0","999.0","11618"
"Justin Miller","","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.36","8.75","3.37","5.06","0.0","0.0","999.0","8580"
"Connor Overton","Blue Jays","0","0","5.05","0","1","0","1.0","1","1","0","1","0","1.48","7.91","4.11","5.18","0.0","0.0","999.0","sa829179"
"Randy Rosario","","0","0","4.71","0","1","0","1.0","1","1","0","1","0","1.52","6.83","4.07","4.96","0.0","0.0","999.0","14508"
"Angel Duno","","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.43","7.37","3.39","5.06","0.0","0.0","999.0","sa657211"
"Argenis Angulo","","0","0","4.90","0","1","0","1.0","1","1","0","1","1","1.49","9.24","4.88","5.04","0.0","0.0","999.0","sa829470"
"Andrew Hasler","White Sox","0","0","4.97","0","1","0","1.0","1","1","0","1","0","1.44","7.23","3.35","5.13","0.0","0.0","999.0","sa876131"
"Mike Morin","","0","0","4.82","0","1","0","1.0","1","1","0","1","0","1.41","6.72","3.07","5.03","0.0","0.0","999.0","13442"
"Shawn Armstrong","Orioles","2","3","4.83","0","53","0","53.0","51","28","10","52","24","1.40","8.84","4.01","5.06","0.0","0.1","999.0","12857"
"Daniel Reynolds","","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.49","7.80","4.17","5.06","0.0","0.0","999.0","sa501564"
"Brian Moran","","0","0","4.41","0","1","0","1.0","1","0","0","1","0","1.43","8.46","4.29","4.74","0.0","0.0","999.0","9646"
"Cristian Alvarado","","0","0","5.18","0","1","0","1.0","1","1","0","1","0","1.43","6.71","3.09","5.45","0.0","0.0","999.0","sa657885"
"Gabriel Ynoa","","0","0","5.08","0","1","0","1.0","1","1","0","1","0","1.42","6.80","2.76","5.06","0.0","0.0","999.0","12938"
"Colby Blueberg","","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.47","8.40","4.24","5.07","0.0","0.0","999.0","sa830501"
"Scott Griggs","","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.48","8.14","4.22","5.07","0.0","0.0","999.0","sa502935"
"Kazuhisa Makita","","0","0","4.78","0","1","0","1.0","1","1","0","1","0","1.38","7.80","3.24","4.93","0.0","0.0","999.0","sa594234"
"Willy Collado","Astros","0","0","4.84","0","1","0","1.0","1","1","0","1","0","1.41","8.60","3.86","5.00","0.0","0.0","999.0","sa919895"
"Andrew Thomson","","0","0","4.81","0","1","0","1.0","1","1","0","1","0","1.48","8.07","4.32","5.07","0.0","0.0","999.0","sa920466"
"Ryan Atkinson","","0","0","4.90","0","1","0","1.0","1","1","0","1","1","1.50","8.91","4.84","5.07","0.0","0.0","999.0","sa921224"
"Jacob Dorris","","0","0","4.94","0","1","0","1.0","1","1","0","1","0","1.48","8.35","4.34","5.07","0.0","0.0","999.0","sa827396"
"Jonathan Cheshire","","0","0","4.92","0","1","0","1.0","1","1","0","1","0","1.48","7.23","3.88","5.07","0.0","0.0","999.0","sa3004362"
