"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Patrick Sandoval","Angels","2","2","4.05","3","25","0","39.0","37","18","5","40","16","1.34","9.18","3.64","4.26","0.4","0.5","568.5","19447"
"Codi Heuer","White Sox","3","3","4.03","0","57","0","57.0","54","25","7","57","23","1.35","8.97","3.66","4.21","0.4","0.4","999.0","23293"
"Jordan Romano","Blue Jays","3","3","4.13","0","62","6","62.0","56","28","9","67","24","1.28","9.75","3.47","4.28","0.4","0.4","392.4","16122"
"Jesse Hahn","Royals","3","3","4.18","0","56","8","56.0","53","26","7","55","23","1.36","8.85","3.68","4.22","0.4","0.5","595.8","13287"
"Tyler Chatwood","Blue Jays","4","4","4.51","5","50","0","71.0","69","36","9","69","37","1.49","8.75","4.71","4.65","0.4","0.4","589.0","4338"
"Drew Rasmussen","Brewers","2","2","4.03","3","25","0","40.0","36","18","5","46","18","1.33","10.18","4.10","4.18","0.3","0.4","999.0","25385"
"Harrison Holmes","Athletics","2","3","4.67","6","14","0","45.0","46","23","6","38","18","1.42","7.64","3.58","4.72","0.3","0.3","999.0","sa828669"
"Giovanny Gallegos","Cardinals","3","3","3.99","0","63","5","63.0","56","28","10","70","21","1.23","10.01","3.02","4.09","0.3","0.4","275.5","14986"
"Trent Thornton","Blue Jays","3","4","5.03","10","18","0","59.0","61","33","11","53","22","1.41","8.02","3.40","5.07","0.3","0.4","999.0","17948"
"Andres Munoz","Mariners","1","1","3.48","0","28","6","28.0","21","11","3","37","14","1.27","11.86","4.59","3.72","0.3","0.4","593.7","20373"
"Jose De Leon","Reds","3","3","4.81","5","35","0","58.0","52","31","10","66","32","1.46","10.29","4.93","4.90","0.3","0.3","597.6","15463"
"Clarke Schmidt","Yankees","2","2","4.85","5","8","0","31.0","31","16","5","27","13","1.44","7.97","3.76","4.94","0.3","0.3","999.0","19899"
"Cody Ponce","Pirates","3","5","5.24","11","19","0","72.0","77","42","12","57","30","1.49","7.20","3.73","5.23","0.3","0.1","999.0","17920"
"Joakim Soria","Diamondbacks","3","3","4.22","0","61","22","61.0","57","29","9","64","23","1.31","9.41","3.40","4.27","0.3","0.3","408.3","6941"
"Carlos Hernandez","Royals","3","3","5.09","8","12","0","49.0","50","27","8","42","22","1.48","7.80","4.09","5.11","0.3","0.4","999.0","22713"
"J.B. Wendelken","Athletics","2","3","4.17","0","52","0","52.0","48","24","7","54","22","1.34","9.42","3.78","4.25","0.3","0.2","471.5","14506"
"Phil Maton","Indians","3","3","4.07","0","60","0","60.0","55","27","9","66","23","1.29","9.85","3.40","4.17","0.3","0.5","598.9","18064"
"Ty Buttrey","Angels","3","3","4.14","0","56","0","56.0","53","26","8","57","21","1.31","9.14","3.32","4.24","0.3","0.4","599.2","14719"
"Collin McHugh","","3","4","4.28","3","53","1","68.0","63","32","10","71","27","1.31","9.32","3.55","4.46","0.3","0.4","599.2","7531"
"Jeff Hoffman","Reds","3","4","4.62","2","58","0","65.0","62","33","11","68","25","1.35","9.49","3.52","4.65","0.3","0.2","600.3","17432"
"Rafael Dolis","Blue Jays","3","3","4.28","0","65","2","65.0","60","31","9","71","30","1.38","9.81","4.11","4.35","0.3","0.4","545.9","4185"
"Bryse Wilson","Braves","3","3","4.70","6","18","0","48.0","49","25","8","42","17","1.38","7.87","3.25","4.78","0.3","0.3","584.0","19990"
"Jose Cisnero","Tigers","3","3","4.52","0","56","0","56.0","53","28","9","60","25","1.38","9.56","3.97","4.54","0.3","0.3","598.2","6399"
"Shane McClanahan","Rays","3","4","4.44","6","34","0","65.0","62","32","10","62","30","1.41","8.63","4.09","4.72","0.3","0.5","578.1","sa3008547"
"Anibal Sanchez","","7","10","5.51","24","24","0","134.0","148","82","27","105","46","1.45","7.03","3.11","5.46","0.3","0.3","596.2","3284"
"Kevin Ginkel","Diamondbacks","3","3","4.25","0","58","2","58.0","51","27","9","67","26","1.33","10.39","4.05","4.27","0.3","0.4","595.5","19876"
"Cody Reed","Rays","2","2","3.71","0","42","0","42.0","37","17","5","45","17","1.29","9.68","3.68","3.94","0.3","0.4","999.0","15232"
"Matt Wisler","Giants","3","3","4.21","0","62","3","62.0","58","29","9","63","20","1.27","9.21","2.97","4.25","0.3","0.2","569.9","12804"
"Jake McGee","Giants","3","3","3.93","0","60","11","60.0","54","26","9","65","20","1.25","9.75","3.06","4.04","0.3","0.4","535.6","7550"
"Jhoan Duran","Twins","2","2","4.73","5","5","0","28.0","28","15","4","24","13","1.47","7.78","4.18","4.84","0.3","0.3","999.0","sa873347"
"Kendall Graveman","Mariners","3","3","4.20","0","63","4","63.0","63","29","9","55","22","1.35","7.91","3.08","4.43","0.3","0.3","594.9","15514"
"David Phelps","Blue Jays","3","3","4.25","0","57","0","57.0","53","27","8","62","24","1.35","9.80","3.76","4.33","0.3","0.3","999.0","6316"
"Tyler Alexander","Tigers","2","3","4.53","2","44","0","51.0","54","26","9","45","13","1.30","7.89","2.25","4.54","0.3","0.4","999.0","17735"
"Kyle McGowin","Nationals","3","3","4.21","0","53","0","53.0","50","25","8","55","18","1.27","9.41","2.97","4.32","0.3","0.3","999.0","15071"
"Keone Kela","Padres","2","2","3.89","0","42","0","42.0","35","18","6","50","17","1.25","10.80","3.67","3.95","0.3","0.4","579.9","14696"
"Daniel Ponce de Leon","Cardinals","6","7","4.78","15","40","0","103.0","95","55","18","107","51","1.42","9.41","4.48","5.02","0.3","0.6","501.3","16110"
"Cody Stashak","Twins","3","3","4.48","0","56","0","56.0","53","28","10","56","18","1.27","9.05","2.87","4.60","0.3","0.2","599.8","18088"
"Josh James","Astros","1","1","3.72","0","24","0","24.0","19","10","3","32","12","1.26","11.94","4.35","3.84","0.3","0.2","599.4","16794"
"Evan Marshall","White Sox","3","3","4.15","0","60","0","60.0","58","28","8","58","24","1.36","8.66","3.54","4.32","0.3","0.3","600.6","12297"
"Emilio Pagan","Padres","3","3","4.25","0","61","6","61.0","55","29","10","68","21","1.24","10.06","3.09","4.33","0.3","0.2","460.1","14771"
"Connor Seabold","Red Sox","2","2","4.98","6","6","0","37.0","39","20","6","30","13","1.40","7.39","3.13","5.02","0.3","0.4","999.0","sa829464"
"Adam Ottavino","Red Sox","3","3","4.40","0","64","6","64.0","56","31","9","74","33","1.39","10.42","4.65","4.37","0.3","0.4","432.9","1247"
"Josh Sborz","Rangers","2","3","4.35","0","48","0","48.0","45","23","7","51","20","1.35","9.56","3.78","4.44","0.3","0.4","999.0","18323"
"Matt Strahm","Padres","3","3","4.24","0","53","0","53.0","50","25","8","53","17","1.26","8.93","2.83","4.41","0.3","0.2","599.9","13799"
"Ryan Borucki","Blue Jays","3","3","4.21","0","55","0","55.0","53","26","8","55","23","1.37","8.98","3.71","4.38","0.3","0.3","598.6","16350"
"Ryan Brasier","Red Sox","3","3","4.24","0","56","2","56.0","52","26","8","60","21","1.29","9.61","3.36","4.30","0.3","0.5","600.8","5615"
"Eric Lauer","Brewers","5","6","4.94","15","25","0","89.0","90","49","16","78","35","1.41","7.92","3.59","5.18","0.2","0.6","594.5","19316"
