"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Juan Soto","WSN","153","658","540","164","34","3","38","110","112","112","115","14","4",".303",".424",".590","1.014",".426","3.5","","3.76","0.32","0.67","20123"
"Mike Trout","LAA","148","650","522","148","27","3","43","111","109","110","141","8","3",".284",".415",".598","1.014",".420","5.9","","2.56","-0.73","1.09","10155"
"Freddie Freeman","ATL","154","675","575","172","38","2","32","106","108","88","118","5","2",".300",".398",".542",".940",".396","12.9","","2.12","0.00","1.20","5361"
"Ronald Acuna Jr.","ATL","149","658","563","156","29","3","39","117","93","84","176","29","8",".276",".378",".544",".922",".390","1.6","","3.99","0.16","0.95","18401"
"Christian Yelich","MIL","148","649","547","150","29","3","35","103","91","93","159","16","5",".275",".386",".530",".916",".387","10.7","","3.30","-1.25","0.41","11477"
"Bryce Harper","PHI","151","655","534","140","29","2","36","101","100","109","150","17","4",".263",".390",".527",".917",".386","18.1","","2.06","0.47","0.74","11579"
"Mookie Betts","LAD","148","668","578","168","35","4","33","121","92","79","100","23","5",".290",".377",".535",".913",".382","4.1","","3.21","-0.04","0.74","13611"
"Yordan Alvarez","HOU","124","528","460","127","26","1","32","76","91","59","127","1","1",".277",".364",".543",".907",".381","77.8","","3.96","-0.23","0.94","19556"
"Fernando Tatis Jr.","SDP","147","649","574","162","29","6","37","109","100","62","167","27","8",".281",".359",".546",".905",".381","2.3","","3.54","-0.84","0.58","19709"
"Cody Bellinger","LAD","143","614","530","146","30","4","35","95","97","78","114","12","4",".275",".370",".543",".913",".381","16.9","","6.31","-0.72","0.45","15998"
"Anthony Rendon","LAA","143","621","528","153","34","2","27","90","97","77","88","2","1",".290",".387",".514",".901",".381","39.4","","2.15","0.33","1.04","12861"
"Alex Bregman","HOU","145","630","528","143","35","2","26","90","90","88","83","3","2",".271",".381",".494",".875",".374","46.1","","3.40","-0.32","0.74","17678"
"Jose Ramirez","CLE","149","638","555","152","37","3","33","97","99","73","93","25","7",".274",".361",".529",".890",".373","10.9","","3.72","-0.09","0.67","13510"
"George Springer","TOR","141","617","537","146","23","3","34","100","91","68","120","4","3",".272",".360",".514",".874",".371","47.9","","2.89","0.29","0.89","12856"
"Aaron Judge","NYY","132","571","486","125","21","1","35","94","86","77","171","3","2",".257",".364",".522",".885",".371","53.2","","2.30","-0.01","1.02","15640"
"Marcell Ozuna","ATL","145","632","559","158","27","2","33","88","105","67","134","4","2",".284",".362",".517",".878",".371","44.5","","1.81","0.53","1.01","10324"
"Corey Seager","LAD","139","607","546","159","36","2","29","94","97","52","105","3","1",".290",".355",".525",".880",".369","33.3","","3.15","-0.29","1.02","13624"
"Nelson Cruz","MIN","125","530","465","126","21","1","32","72","86","53","137","0","0",".270",".354",".524",".878",".367","91.5","","4.45","-0.44","0.93","2434"
"Jesse Winker","CIN","133","520","445","120","23","1","23","69","65","64","104","2","1",".269",".370",".481",".851",".366","211.3","","3.51","-1.00","0.48","13590"
"Trevor Story","COL","150","656","589","164","36","6","32","99","87","59","168","28","7",".278",".348",".520",".868",".365","12.2","","3.10","-1.85","0.82","12564"
"Vladimir Guerrero Jr.","TOR","147","619","556","161","32","3","26","85","93","54","96","2","1",".290",".357",".500",".857",".365","50.4","","4.04","-0.12","1.01","19611"
"Eloy Jimenez","CHW","144","604","559","160","31","2","35","80","102","38","142","1","0",".286",".334",".534",".868",".365","31.3","","3.88","-0.03","1.22","17484"
"Xander Bogaerts","BOS","148","630","560","161","35","2","28","94","91","61","113","12","2",".288",".359",".506",".865",".364","34.1","","2.93","0.08","0.44","12161"
"Rhys Hoskins","PHI","133","583","484","115","25","2","30","84","84","86","139","3","1",".239",".363",".484",".847",".363","161.9","","3.62","0.34","1.05","16472"
"Pete Alonso","NYM","145","622","540","133","25","1","40","87","102","64","164","2","1",".246",".341",".518",".859",".363","55.5","","2.19","-1.52","1.52","19251"
"Justin Turner","LAD","114","490","425","121","24","1","17","69","65","50","76","2","1",".286",".374",".471",".845",".361","201.3","","3.98","-0.40","0.81","5235"
"Luke Voit","NYY","141","597","525","137","22","1","34","86","93","61","149","0","0",".261",".346",".498",".844",".360","61.8","","2.84","-0.36","1.08","14811"
"Josh Donaldson","MIN","130","540","450","109","22","1","27","75","71","80","129","2","1",".243",".363",".475",".838",".360","192.7","","3.54","-0.53","0.70","5038"
"Paul Goldschmidt","STL","151","639","548","147","27","2","28","86","81","84","144","3","1",".269",".369",".476",".845",".360","92.2","","2.01","-0.47","0.62","9218"
"Michael Conforto","NYM","146","629","540","142","27","1","29","89","87","75","151","7","3",".264",".363",".479",".842",".359","73.7","","2.15","0.13","0.54","16376"
"Trea Turner","WSN","147","657","595","173","34","7","23","103","79","53","114","33","8",".291",".353",".487",".840",".359","7.2","","1.78","1.53","1.47","16252"
"Manny Machado","SDP","152","659","586","161","29","2","34","92","103","63","110","11","4",".276",".346",".506",".853",".359","21.2","","2.22","0.16","0.58","11493"
"Giancarlo Stanton","NYY","122","521","447","113","21","1","31","74","83","63","155","3","1",".253",".350",".509",".859",".358","114.3","","5.94","-0.42","0.77","4949"
"C.J. Cron","COL","125","514","461","121","25","1","29","67","81","40","129","1","1",".262",".333",".511",".844",".357","202.8","","7.05","-1.67","0.81","12546"
"Max Muncy","LAD","136","575","478","112","20","1","30","87","83","87","145","3","1",".235",".359",".469",".827",".357","99.6","","3.91","0.58","1.11","13301"
"Eugenio Suarez","CIN","151","639","553","136","24","2","38","87","101","73","175","3","1",".246",".340",".502",".842",".356","67.7","","3.94","0.58","1.39","12552"
"Anthony Rizzo","CHC","149","639","543","143","27","2","27","85","85","72","95","6","3",".264",".366",".468",".834",".355","106.2","","4.28","-0.27","0.47","3473"
"Alex Dickerson","SFG","122","462","414","114","25","3","19","65","64","39","89","1","1",".274",".345",".491",".836",".355","359.0","","4.59","-0.17","0.60","12649"
"Charlie Blackmon","COL","135","590","532","153","29","5","22","82","74","45","107","4","3",".289",".350",".485",".834",".355","87.6","","1.87","-0.56","0.86","7859"
"Rafael Devers","BOS","148","642","590","165","39","3","31","95","100","44","140","4","3",".279",".333",".510",".843",".354","41.3","","3.00","0.66","0.90","17350"
"DJ LeMahieu","NYY","144","633","575","175","28","3","20","98","76","48","81","6","2",".304",".359",".465",".825",".354","27.8","","3.21","0.02","1.35","9874"
"Brandon Nimmo","NYM","127","530","438","109","22","4","17","76","52","77","125","5","3",".249",".374",".432",".807",".354","264.9","","3.76","0.05","0.47","12927"
"Gleyber Torres","NYY","145","600","529","141","26","1","29","80","83","60","121","6","2",".266",".344",".486",".830",".354","64.6","","4.46","0.27","0.48","16997"
"Jeff McNeil","NYM","148","631","564","166","35","3","18","81","74","46","80","4","3",".294",".360",".460",".820",".354","93.8","","2.69","0.00","1.10","15362"
"Kyle Schwarber","WSN","131","537","461","110","21","2","31","73","77","68","148","3","2",".238",".340",".495",".835",".354","199.6","","1.90","1.07","0.97","16478"
"J.D. Martinez","BOS","143","619","547","148","32","2","29","81","90","62","145","2","1",".270",".347",".496",".843",".353","92.7","","5.21","-0.27","0.79","6184"
"Will Smith","LAD","105","416","358","89","18","1","22","58","67","46","92","1","1",".248",".342",".488",".830",".353","100.4","","5.69","0.27","0.46","19197"
"Matt Olson","OAK","147","616","534","127","24","1","37","79","96","72","171","1","1",".238",".336",".497",".833",".353","91.3","","2.77","0.26","1.50","14344"
"Brandon Belt","SFG","133","540","459","118","27","2","20","68","67","74","117","2","1",".256",".362",".454",".816",".352","473.5","","2.82","-1.39","0.26","10264"
"Jorge Soler","KCR","140","582","506","124","25","1","32","73","87","65","170","2","1",".246",".339",".487",".826",".351","143.9","","3.10","-0.01","1.03","14221"
"Joey Gallo","TEX","146","598","504","108","23","2","39","84","90","84","215","5","2",".214",".333",".495",".829",".351","151.5","","2.74","-0.98","1.86","14128"
"Jose Abreu","CHW","149","647","590","165","33","2","32","87","110","40","141","1","1",".280",".335",".503",".838",".351","41.3","","2.68","0.68","1.24","15676"
"Randy Arozarena","TBR","146","572","507","136","26","3","24","82","75","46","139","20","7",".268",".345",".474",".819",".351","58.9","","3.67","-0.60","0.69","19290"
"Josh Bell","WSN","140","591","513","134","26","2","28","79","89","67","130","1","1",".260",".346",".484",".830",".350","146.4","","2.78","-0.70","0.86","13145"
"Franmil Reyes","CLE","147","597","532","138","24","1","34","77","90","56","168","0","0",".260",".330",".499",".829",".350","157.6","","3.11","0.03","1.05","14566"
"Kris Bryant","CHC","142","621","536","139","29","3","25","91","74","66","148","2","2",".260",".356",".464",".820",".350","123.2","","3.02","0.31","0.73","15429"
"Nicholas Castellanos","CIN","150","646","587","157","39","4","30","93","89","48","160","2","2",".267",".327",".499",".826",".349","82.7","","2.59","-0.26","0.89","11737"
"Bo Bichette","TOR","143","622","575","164","38","4","23","91","83","40","126","21","8",".286",".335",".487",".822",".349","24.5","","1.61","-0.48","0.72","19612"
"Ketel Marte","ARI","147","631","574","165","33","7","21","83","75","46","82","7","2",".288",".344",".475",".819",".348","83.0","","4.09","0.67","0.80","13613"
"Brandon Lowe","TBR","138","573","507","129","26","3","28","79","84","55","162","6","2",".254",".333",".482",".815",".347","71.5","","4.22","-0.02","0.56","18882"
"Mark Canha","OAK","143","582","490","121","25","3","21","78","72","70","131","6","1",".247",".356",".441",".797",".346","265.3","","2.28","-1.02","0.44","11445"
"Yandy Diaz","TBR","106","446","385","105","18","1","12","56","44","56","74","1","1",".274",".368",".422",".790",".346","534.9","","4.24","-0.52","0.82","16578"
"Matt Chapman","OAK","138","588","522","128","30","3","31","84","84","55","156","1","1",".245",".324",".494",".818",".346","116.3","","1.97","0.58","1.06","16505"
"Dominic Smith","NYM","130","511","463","124","29","2","22","66","77","39","121","1","1",".268",".331",".482",".813",".346","126.9","","2.62","0.27","0.62","15653"
"Tommy Pham","SDP","126","541","469","124","22","2","18","71","62","64","116","20","4",".265",".359",".435",".794",".346","139.5","","2.41","-0.86","0.98","2967"
"Shohei Ohtani","LAA","112","438","390","102","21","2","19","59","61","43","117","13","4",".261",".338",".471",".808",".346","175.9","","5.77","-0.54","0.64","19755"
"Mike Yastrzemski","SFG","144","607","535","137","30","5","25","86","76","62","154","6","3",".256",".339",".469",".807",".346","139.8","","4.21","0.16","0.51","14854"
"Nate Lowe","TEX","110","444","388","100","19","1","19","57","59","51","122","3","1",".258",".346",".456",".802",".345","423.7","","4.76","-0.07","0.36","19566"
"Michael Brantley","HOU","129","552","498","145","31","2","15","70","71","46","69","5","1",".291",".354",".451",".805",".345","150.2","","3.74","-1.37","0.97","4106"
"Ozzie Albies","ATL","149","644","592","165","35","5","24","93","83","43","117","15","4",".279",".332",".478",".810",".345","34.5","","2.65","-0.71","0.41","16556"
"Rowdy Tellez","TOR","115","453","405","105","21","0","24","60","68","38","100","1","1",".258",".326",".488",".815",".345","305.4","","1.32","4.38","0.53","15679"
"Cavan Biggio","TOR","144","631","527","127","28","2","21","92","71","96","160","17","4",".240",".361",".423",".784",".345","68.2","","3.97","0.22","1.08","19252"
"Alex Verdugo","BOS","145","596","539","155","36","2","16","83","62","47","99","9","2",".288",".348",".453",".801",".344","129.2","","3.07","1.07","0.95","17027"
"Ke'Bryan Hayes","PIT","144","573","514","142","31","4","17","74","67","50","115","8","3",".276",".345",".454",".799",".344","139.3","","3.66","-0.45","0.51","18577"
"Austin Meadows","TBR","136","578","515","133","28","4","25","78","76","53","144","11","4",".259",".332",".476",".808",".343","86.7","","5.24","0.06","0.26","15672"
"Trent Grisham","SDP","146","627","536","134","25","5","23","90","72","78","146","18","4",".249",".349",".445",".794",".343","70.5","","3.29","0.43","0.93","18564"
"Kyle Tucker","HOU","149","614","555","145","30","6","27","89","92","51","134","20","6",".261",".327",".481",".808",".343","32.0","","2.46","0.31","0.73","18345"
"Alec Bohm","PHI","140","593","532","149","28","2","20","77","78","51","110","4","2",".281",".346",".452",".798",".343","999.0","","3.13","-0.79","0.70","21618"
"Ian Happ","CHC","141","573","496","122","24","2","26","77","72","70","166","6","3",".245",".342",".464",".806",".343","162.8","","2.03","1.11","0.58","17919"
"Clint Frazier","NYY","123","506","444","112","24","2","22","67","68","51","138","6","2",".251",".335",".464",".799",".342","176.3","","4.74","-0.49","0.21","15983"
"Yasmani Grandal","CHW","127","516","431","100","19","1","23","67","68","77","133","2","1",".232",".350",".438",".788",".342","131.6","","2.49","-0.21","0.65","11368"
"Nolan Arenado","STL","149","642","570","153","29","2","29","83","94","59","92","1","1",".268",".337",".480",".817",".342","41.3","","2.71","-0.28","0.91","9777"
"Joey Votto","CIN","134","578","488","124","25","1","19","77","61","83","112","2","1",".254",".365",".428",".793",".342","375.5","","5.79","-0.07","0.44","4314"
"Joc Pederson","CHC","132","495","434","103","21","2","26","69","67","49","112","3","1",".238",".327",".477",".804",".342","259.7","","5.65","-1.30","0.66","11899"
"Mitch Garver","MIN","94","361","317","78","15","1","18","51","51","37","110","0","0",".245",".329",".469",".799",".341","203.2","","4.97","0.30","0.42","15161"
"Mike Moustakas","CIN","146","605","539","136","27","1","33","74","94","54","114","3","1",".253",".326",".492",".818",".341","120.7","","3.85","-0.91","1.04","4892"
"Trey Mancini","BAL","121","511","461","122","22","2","22","65","67","41","116","1","1",".265",".331",".469",".799",".341","159.6","","3.09","1.12","0.49","15149"
"Daniel Vogelbach","MIL","67","265","223","50","9","0","12","32","35","40","65","0","0",".227",".347",".435",".783",".341","598.2","","5.95","0.93","0.76","14130"
"J.T. Realmuto","PHI","128","528","476","127","25","2","23","74","75","39","117","8","2",".267",".331",".473",".803",".340","47.0","","3.08","0.18","0.12","11739"
"Aaron Hicks","NYY","132","549","463","109","22","3","21","79","69","78","118","9","3",".236",".348",".433",".782",".340","249.1","","2.48","-1.46","0.67","5297"
"Spencer Torkelson","DET","11","47","41","10","2","0","2","6","6","5","11","1","0",".248",".342",".439",".780",".340","560.5","","2.38","-0.45","1.80","sa3014504"
"J.D. Davis","NYM","112","451","399","104","20","1","17","55","53","44","108","2","1",".261",".342",".444",".786",".340","267.0","","2.86","0.69","0.47","16219"
"Jose Altuve","HOU","132","578","521","144","27","2","19","87","68","48","93","8","4",".276",".342",".448",".790",".339","95.7","","6.27","-0.46","0.58","5417"
"Luis Arraez","MIN","112","459","417","129","25","2","4","57","44","37","41","3","2",".311",".366",".408",".774",".339","476.0","","6.04","-1.14","1.78","18568"
"Francisco Lindor","NYM","150","667","599","160","33","2","28","93","81","55","103","18","6",".268",".334",".469",".803",".339","18.3","","3.58","-1.19","0.47","12916"
"Max Kepler","MIN","138","585","512","125","29","2","26","86","74","63","102","6","2",".243",".331",".463",".794",".339","190.8","","3.42","0.34","0.77","12144"
"Andrew McCutchen","PHI","130","573","496","125","23","2","22","83","67","68","121","8","3",".252",".347",".441",".788",".339","207.6","","2.64","-0.88","0.44","9847"
"Miguel Sano","MIN","138","572","502","113","24","1","36","81","85","64","221","0","0",".225",".316",".493",".809",".339","199.5","","5.46","-0.45","1.60","12164"
"Willson Contreras","CHC","122","487","424","107","21","2","19","65","64","46","120","2","2",".252",".342",".443",".784",".338","123.6","","4.05","0.66","0.19","11609"
"Mitch Haniger","SEA","117","503","441","110","23","2","21","67","63","50","125","6","2",".250",".334",".453",".787",".338","247.0","","2.58","-0.98","0.20","14274"
"Anthony Santander","BAL","138","590","546","143","33","2","29","74","85","35","109","2","2",".261",".311",".490",".801",".338","167.6","","2.90","-1.05","0.72","14551"
"Yoan Moncada","CHW","145","626","555","143","28","5","23","82","76","62","185","7","3",".257",".335",".450",".786",".338","87.8","","1.68","-1.33","0.34","17232"
"Austin Slater","SFG","77","290","251","65","11","2","8","37","29","32","75","12","2",".257",".352",".418",".769",".337","528.3","","4.01","0.44","1.40","16153"
"Mike Brosseau","TBR","71","258","232","61","13","1","10","32","33","19","68","3","1",".263",".329",".457",".786",".337","509.7","","8.28","0.18","1.10","19683"
"Eddie Rosario","CLE","138","574","535","144","27","2","29","80","91","33","90","5","2",".270",".311",".491",".802",".337","107.5","","4.98","0.95","0.60","12155"
"Jared Walsh","LAA","120","485","435","110","22","2","23","64","71","39","125","0","0",".254",".319",".475",".795",".337","231.2","","2.69","0.75","0.52","18607"
"Christian Walker","ARI","135","564","504","129","28","2","23","75","76","50","136","3","2",".256",".328",".458",".786",".336","210.0","","3.48","0.43","0.41","13419"
"Teoscar Hernandez","TOR","137","567","513","125","24","2","31","78","82","47","175","11","3",".245",".312",".483",".794",".336","85.3","","3.93","-0.15","0.81","13066"
"Tommy La Stella","SFG","122","472","421","117","22","2","11","60","53","43","42","2","1",".277",".350",".423",".773",".336","378.4","","3.18","-0.55","0.82","12371"
"Marcus Semien","TOR","144","638","568","146","30","3","24","89","75","65","115","10","4",".256",".333",".446",".779",".336","125.8","","2.87","0.79","0.49","12533"
"Lourdes Gurriel Jr.","TOR","143","594","550","149","29","1","27","76","84","32","133","7","3",".271",".316",".476",".792",".336","88.8","","3.97","0.34","0.37","19238"
"Keston Hiura","MIL","143","612","551","139","27","2","29","79","84","42","186","11","5",".252",".320",".468",".788",".336","71.6","","2.50","-1.23","0.58","20003"
"Wilmer Flores","SFG","90","355","327","90","18","1","14","42","47","21","49","1","0",".276",".324",".465",".790",".336","454.6","","4.96","0.60","0.95","5827"
"Carlos Correa","HOU","144","599","530","139","27","1","24","74","85","58","135","2","1",".262",".337",".454",".791",".335","122.1","","4.56","-0.71","0.64","14162"
"Alejandro Kirk","TOR","64","239","213","58","13","1","6","28","29","23","36","1","1",".271",".347",".426",".773",".335","313.9","","4.21","-1.03","1.25","22581"
"Chris Taylor","LAD","130","527","465","118","27","4","17","69","65","52","143","8","3",".255",".335",".443",".779",".335","235.2","","3.36","-0.04","0.20","13757"
"Carlos Santana","KCR","143","606","508","121","24","1","21","77","75","91","97","1","1",".239",".356",".416",".773",".335","289.4","","2.17","-0.50","0.73","2396"
"Tim Anderson","CHW","146","628","593","171","31","3","22","95","69","26","140","17","6",".288",".322",".462",".784",".335","44.6","","3.37","-0.41","0.89","15172"
"Wil Myers","SDP","136","551","493","123","26","3","25","72","75","52","160","11","4",".249",".324",".461",".785",".334","135.6","","2.16","-0.43","0.48","10047"
"Giovanny Urshela","NYY","136","541","492","136","26","1","19","68","75","38","91","2","1",".276",".331",".448",".779",".334","165.8","","2.77","-0.14","0.65","10681"
"Brad Miller","PHI","71","266","231","54","11","2","12","36","37","31","76","2","1",".234",".329",".457",".786",".333","594.7","","4.07","-0.88","0.72","12775"
"Garrett Cooper","MIA","86","353","319","85","16","1","12","44","44","29","86","0","0",".266",".334",".436",".770",".333","536.5","","5.49","0.43","0.79","15279"
"Brian Anderson","MIA","145","603","532","135","27","2","21","71","78","54","146","2","1",".253",".335",".433",".769",".333","263.0","","2.93","0.31","0.47","18289"
"Yasiel Puig","","76","318","286","73","14","1","14","41","43","27","66","9","3",".256",".324",".455",".779",".333","468.9","","5.44","1.14","0.94","14225"
"Pedro Florimon","SDP","5","21","19","5","1","0","1","3","3","2","5","0","0",".266",".329",".443",".771",".333","999.0","","0.00","0.00","1.93","8385"
"Greg Bird","COL","32","130","114","27","6","0","6","16","18","14","34","0","0",".235",".325",".451",".776",".332","600.3","","2.59","2.47","1.40","14131"
"A.J. Pollock","LAD","118","491","447","116","23","2","23","66","69","32","106","6","3",".259",".314",".471",".785",".332","195.9","","3.76","-0.10","0.21","9256"
"Ji-Man Choi","TBR","107","421","359","87","20","1","15","49","52","53","102","2","1",".242",".341",".425",".765",".332","573.3","","4.03","-0.31","0.30","5452"
"Seth Beer","ARI","12","47","42","10","2","0","2","6","8","4","12","0","0",".249",".331",".432",".762",".332","600.7","","10.09","1.88","1.77","sa3006658"
"Starling Marte","MIA","147","626","575","160","30","4","19","88","72","31","110","25","7",".277",".329",".442",".771",".332","49.8","","2.99","-0.37","1.14","9241"
"Bobby Dalbec","BOS","120","492","434","100","19","1","26","61","68","49","173","2","1",".231",".318",".456",".774",".331","288.4","","3.08","-1.88","0.78","19966"
"Travis d'Arnaud","ATL","109","436","394","104","19","1","18","53","69","35","101","1","1",".264",".328",".453",".781",".331","140.2","","2.82","0.47","0.61","7739"
"Randal Grichuk","TOR","114","475","438","111","23","2","25","65","69","29","115","2","1",".252",".303",".487",".790",".331","270.0","","5.56","0.08","0.48","10243"
"Bryan Reynolds","PIT","138","570","511","133","28","4","17","72","64","52","138","4","2",".261",".334",".431",".765",".331","332.1","","3.28","-0.01","0.28","19326"
"Jordan Luplow","CLE","59","227","198","48","11","1","9","28","27","25","51","2","1",".241",".331",".436",".766",".331","601.0","","2.88","0.29","1.06","16424"
"Ryan Mountcastle","BAL","132","549","508","140","26","2","21","62","74","31","124","2","1",".277",".320",".458",".777",".331","154.9","","4.53","-0.76","0.70","18373"
"David Peralta","ARI","129","545","497","136","25","4","16","62","72","40","112","2","1",".274",".332",".438",".770",".331","284.4","","2.02","0.50","0.66","2136"
"Jason Heyward","CHC","131","529","458","116","20","3","15","63","59","62","98","6","2",".254",".346",".411",".757",".330","520.5","","2.49","0.91","0.20","4940"
"Gavin Lux","LAD","111","464","420","109","21","3","15","62","56","41","108","8","3",".260",".329",".436",".765",".330","225.8","","5.01","-0.52","0.40","19955"
"Austin Riley","ATL","127","526","479","120","24","2","26","65","76","38","144","1","1",".249",".310",".467",".778",".330","218.3","","4.55","-0.57","0.66","18360"
"Julio Rodriguez","STL","30","115","105","28","6","1","3","16","17","7","27","2","1",".266",".327",".436",".763",".330","999.0","","1.77","-0.33","1.57","sa917669"
"Jesus Aguilar","MIA","126","499","435","109","20","0","20","60","69","51","109","0","0",".251",".332",".436",".767",".330","420.5","","3.03","-0.28","0.43","11342"
"Yoshitomo Tsutsugo","TBR","88","346","299","69","14","1","15","45","45","42","92","0","0",".232",".329",".434",".763",".330","554.9","","4.73","0.06","0.43","27459"
"Hunter Dozier","KCR","141","592","524","128","26","5","21","73","68","62","157","7","2",".245",".327",".436",".763",".329","237.9","","3.18","1.33","0.43","15117"
"Kole Calhoun","ARI","116","492","427","100","20","2","23","68","64","54","117","3","1",".234",".326",".447",".773",".329","355.9","","4.76","0.32","0.55","11200"
"Sean Murphy","OAK","102","379","334","80","17","1","16","49","45","40","93","1","1",".239",".327",".433",".760",".329","183.6","","3.41","-0.16","0.37","19352"
"Colton Welker","COL","14","59","53","15","3","0","2","6","7","4","11","0","0",".278",".334",".435",".769",".329","599.5","","5.29","3.91","1.84","sa917962"
"Ryan Braun","","47","185","169","44","9","1","8","23","27","12","38","2","1",".258",".315",".462",".777",".329","600.5","","3.73","1.09","1.31","3410"
"Ramon Laureano","OAK","144","591","520","129","28","2","22","83","71","50","157","12","3",".248",".327",".435",".762",".328","144.8","","3.30","1.76","0.60","17128"
"Jeimer Candelario","DET","132","543","479","119","26","3","18","65","64","55","132","3","1",".247",".332",".426",".757",".328","283.8","","3.16","0.18","0.18","13621"
"Trevor Larnach","MIN","10","41","37","10","2","0","1","5","4","4","10","0","0",".261",".328",".436",".764",".328","596.0","","5.70","1.86","1.87","sa3008376"
"Nolan Jones","CLE","8","37","32","8","2","0","1","5","4","5","12","0","0",".242",".340",".411",".751",".328","584.2","","6.36","2.14","1.85","sa917941"
"D.J. Stewart","BAL","92","366","312","72","15","1","15","45","44","43","96","3","2",".229",".331",".424",".755",".328","576.6","","4.98","0.55","0.49","17766"
"Luis Robert","CHW","146","609","556","140","27","4","27","88","82","41","183","25","7",".252",".310",".461",".771",".328","34.8","","2.58","-1.28","1.14","20043"
"Gary Sanchez","NYY","105","416","367","79","14","0","26","52","64","41","127","0","1",".216",".305",".467",".771",".328","154.1","","3.24","-1.09","0.95","11442"
"Whit Merrifield","KCR","149","653","602","169","34","4","15","89","68","40","101","25","7",".281",".330",".429",".759",".328","41.8","","1.33","0.75","1.35","11281"
"Nick Solak","TEX","130","542","484","129","22","2","16","67","61","47","113","12","3",".266",".336",".416",".753",".327","179.1","","2.48","1.69","0.60","19294"
"Ty France","SEA","118","465","419","109","22","1","15","55","59","30","101","1","1",".259",".327",".429",".756",".327","302.2","","2.87","0.72","0.41","17982"
"Alexander Kirilloff","MIN","116","483","444","121","25","3","14","57","57","31","96","6","2",".273",".325",".438",".763",".327","999.0","","3.91","0.06","0.67","sa917929"
"Austin Dean","STL","32","114","103","27","6","1","4","13","14","10","26","1","0",".259",".327",".430",".756",".327","999.0","","5.01","1.86","1.60","18288"
"Renato Nunez","DET","104","432","390","96","18","1","20","52","60","33","112","1","0",".246",".312",".451",".764",".327","492.0","","6.01","-1.25","0.45","14503"
"Byron Buxton","MIN","128","492","456","115","26","4","24","69","70","26","129","15","4",".253",".298",".482",".780",".326","109.3","","3.85","-0.37","0.64","14161"
"Jorge Polanco","MIN","135","579","525","142","29","4","15","72","63","43","95","7","3",".271",".329",".429",".758",".326","252.8","","2.53","0.70","0.51","13152"
"Ryan Zimmerman","WSN","43","171","154","39","8","0","6","19","24","14","35","0","0",".256",".322",".437",".758",".326","600.2","","2.68","1.91","1.35","4220"
"Jake Cronenworth","SDP","122","496","444","119","26","4","9","62","52","44","85","10","3",".268",".339",".407",".746",".326","214.0","","3.44","0.41","0.83","18036"
"Didi Gregorius","PHI","131","549","503","132","24","3","22","72","81","34","74","6","3",".263",".314",".452",".766",".325","162.0","","1.78","-1.42","0.33","6012"
"Danny Jansen","TOR","101","382","329","77","15","1","15","45","47","40","76","1","1",".235",".328",".419",".748",".325","323.1","","2.16","-1.52","0.39","16535"
"Dansby Swanson","ATL","146","629","562","144","31","3","23","91","77","56","153","12","4",".256",".327",".441",".768",".325","108.8","","3.28","-0.40","0.56","18314"
"Robbie Grossman","DET","126","495","430","107","23","3","12","60","49","58","93","12","3",".249",".342",".398",".740",".325","427.9","","2.33","-0.77","0.79","5254"
"Aristides Aquino","CIN","54","200","181","42","8","1","11","25","29","15","60","3","1",".231",".299",".468",".766",".325","588.4","","4.63","1.22","1.10","15482"
"Shogo Akiyama","CIN","93","355","315","83","16","2","7","44","32","36","65","9","3",".263",".345",".392",".737",".325","550.3","","4.71","-0.70","1.20","27461"
"Josh Naylor","CLE","126","475","432","115","23","2","13","57","54","38","74","3","1",".266",".329",".421",".750",".325","492.0","","3.02","-0.35","0.54","18839"
"Colin Moran","PIT","134","529","478","124","25","1","19","60","69","42","123","0","1",".259",".322",".433",".755",".325","531.5","","2.94","-0.48","0.45","16909"
"Ryan Jeffers","MIN","75","267","240","61","11","0","10","29","32","21","72","0","0",".254",".324",".424",".749",".325","431.8","","3.08","-0.76","1.05","24618"
"Derek Dietrich","NYY","24","75","65","15","3","0","3","11","10","7","20","1","0",".225",".324",".440",".764",".324","999.0","","6.96","-0.50","1.60","10542"
"Ryan McMahon","COL","128","504","451","109","22","2","20","60","67","47","156","3","2",".243",".318",".437",".754",".324","239.3","","3.12","-0.87","0.37","15112"
"Jedd Gyorko","","65","229","202","49","8","0","10","27","29","23","57","1","0",".241",".322",".432",".754",".324","599.3","","2.06","0.09","1.04","10816"
"Darin Ruf","SFG","38","144","127","31","6","0","5","17","19","14","33","1","1",".245",".328",".418",".746",".324","600.3","","3.28","1.43","1.42","9929"
"Jean Segura","PHI","137","586","535","148","26","3","15","74","62","40","91","9","4",".277",".332",".420",".752",".324","190.0","","2.29","1.37","0.69","5933"
"Kevin Padlo","TBR","10","37","32","7","2","0","2","5","5","4","11","1","0",".218",".314",".436",".750",".323","999.0","","6.04","1.75","1.82","sa828961"
"Adam Eaton","CHW","118","507","444","114","21","3","12","67","47","46","90","10","3",".257",".338",".398",".736",".323","416.1","","2.86","1.69","0.72","11205"
"Salvador Perez","KCR","122","498","468","122","24","1","25","58","79","18","106","2","1",".260",".296",".477",".773",".323","84.3","","2.06","-0.71","0.70","7304"
