"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Joshua Palacios","TOR","11","47","43","10","2","0","1","6","5","4","12","1","0",".234",".302",".361",".664",".291","999.0","","2.99","2.46","1.83","sa829562"
"Alex Jackson","ATL","42","147","134","28","6","0","7","17","19","9","56","0","0",".206",".272",".407",".678",".291","598.7","","3.28","1.32","1.22","17276"
"Jorge Alfaro","MIA","100","370","342","81","13","1","12","37","43","18","127","4","2",".236",".291",".383",".674",".291","250.6","","4.20","0.22","0.69","12180"
"Eric Sogard","CHC","35","137","122","29","6","0","2","14","12","13","22","1","0",".240",".314",".348",".662",".291","600.8","","2.66","1.20","1.54","7927"
"William Contreras","ATL","13","48","44","11","2","0","1","5","5","3","12","0","0",".243",".303",".360",".663",".291","596.0","","1.95","2.90","1.82","20503"
"Yolmer Sanchez","BAL","113","401","360","88","18","3","6","43","34","33","85","4","2",".245",".314",".361",".675",".290","598.3","","3.70","0.60","0.77","11602"
"Orlando Arcia","MIL","127","482","441","109","20","2","13","49","52","33","93","7","3",".247",".302",".385",".687",".290","559.4","","3.17","0.63","0.51","13185"
"Sam Haggerty","SEA","13","52","46","10","2","0","1","6","4","5","16","3","1",".222",".308",".343",".652",".290","600.9","","3.44","0.98","1.85","18054"
"Martin Maldonado","HOU","95","352","309","66","12","0","11","38","38","33","97","1","1",".212",".301",".357",".658",".290","536.1","","1.93","0.70","0.48","6887"
"Bradley Zimmer","CLE","50","174","154","34","7","1","5","19","16","15","58","6","1",".221",".304",".366",".670",".290","599.9","","4.33","0.53","1.46","16221"
"Donnie Walton","SEA","9","35","31","8","1","0","0","4","3","3","7","0","0",".244",".314",".335",".649",".289","999.0","","3.12","1.38","1.89","19314"
"Tyler Naquin","CIN","44","172","161","39","10","1","4","20","22","9","45","1","1",".244",".287",".386",".673",".289","600.4","","5.88","0.02","1.29","13359"
"Edmundo Sosa","STL","27","107","100","24","5","0","2","12","11","5","23","1","0",".244",".291",".375",".666",".289","999.0","","3.70","1.99","1.61","17022"
"Ender Inciarte","ATL","75","285","254","62","11","2","4","34","25","25","49","9","3",".242",".312",".350",".662",".289","597.9","","3.59","1.64","1.27","4922"
"Jasrado Chisholm","MIA","86","329","294","61","10","3","11","38","36","30","105","9","3",".209",".288",".373",".661",".289","999.0","","6.14","0.40","1.02","20454"
"Andy Ibanez","TEX","11","47","43","10","2","0","1","5","4","3","10","0","0",".237",".294",".371",".665",".289","999.0","","0.60","0.24","1.83","sa914201"
"Franklin Barreto","LAA","32","112","104","23","5","0","4","14","12","7","40","3","1",".221",".280",".385",".665",".288","600.8","","3.45","2.63","1.53","15519"
"Phil Gosselin","LAA","18","64","59","14","3","0","1","8","6","5","15","0","0",".234",".301",".351",".652",".287","999.0","","2.89","2.29","1.73","10953"
"Jonathan Lucroy","CHW","19","72","65","15","3","0","2","7","8","6","12","0","0",".236",".300",".358",".658",".287","600.8","","2.61","2.78","1.71","7870"
"Kyle Holder","CIN","30","124","113","27","6","0","3","13","11","9","22","1","0",".238",".295",".364",".659",".287","599.9","","2.89","0.49","1.56","sa857840"
"Greg Garcia","DET","25","80","68","16","2","0","1","9","6","9","18","0","0",".230",".326",".304",".630",".287","999.0","","1.93","0.02","1.71","10951"
"Tyler Wade","NYY","64","206","184","42","8","1","4","27","19","17","50","7","2",".228",".301",".349",".650",".287","600.3","","4.32","0.32","1.34","15730"
"Caleb Raleigh","SEA","10","40","37","8","1","0","2","4","5","3","11","0","0",".217",".279",".387",".667",".287","999.0","","4.95","3.93","1.81","sa3008377"
"Nicky Lopez","KCR","105","418","377","94","17","2","3","43","33","32","65","4","3",".248",".312",".332",".643",".286","599.5","","6.33","-0.25","0.86","19339"
"Delino DeShields","TEX","54","202","177","42","7","1","2","22","14","19","49","8","3",".234",".312",".330",".642",".286","600.4","","3.99","0.63","1.59","11379"
"Gerardo Parra","WSN","23","97","89","22","4","0","2","11","11","6","19","2","1",".243",".297",".359",".656",".286","999.0","","6.15","2.87","1.64","8553"
"Sheldon Neuse","LAD","19","82","75","18","3","0","2","9","9","6","25","0","0",".239",".292",".366",".658",".286","600.9","","5.11","4.23","1.68","19635"
"Bryan Holaday","ARI","8","26","24","6","1","0","0","2","2","2","5","0","0",".242",".304",".346",".650",".286","999.0","","2.20","0.81","1.92","11287"
"Kelvin Gutierrez","KCR","10","40","36","9","2","0","1","4","4","3","12","1","0",".239",".303",".344",".646",".286","999.0","","2.42","3.23","1.86","17468"
"Ehire Adrianza","ATL","19","64","57","14","3","0","1","7","6","6","13","0","0",".240",".311",".334",".646",".286","600.3","","1.94","1.58","1.77","8418"
"Luis Alexander Basabe","SFG","10","26","23","5","1","0","0","3","2","3","8","3","0",".214",".309",".325",".634",".285","999.0","","4.35","0.62","1.96","17839"
"Jake Rogers","DET","25","96","85","17","3","0","3","10","10","9","30","0","0",".203",".286",".364",".650",".285","600.9","","3.57","1.95","1.52","19452"
"Anthony Alford","PIT","77","279","254","57","11","2","7","31","27","21","86","14","4",".224",".292",".357",".648",".285","580.5","","2.32","0.09","1.50","14329"
"Michael A. Taylor","KCR","92","313","286","65","16","1","9","35","34","22","92","7","3",".226",".285",".385",".670",".285","558.0","","3.45","-2.71","0.94","11489"
"Taylor Trammell","SEA","47","194","171","37","7","1","4","21","17","20","52","5","2",".217",".303",".335",".638",".285","999.0","","3.83","-0.54","1.36","sa917943"
"Reese McGuire","TOR","41","144","130","29","6","0","4","15","14","10","30","1","0",".225",".286",".365",".652",".284","601.0","","3.08","-0.08","1.41","15674"
"Omar Estevez","LAD","5","23","21","5","1","0","0","2","3","1","5","0","0",".240",".291",".363",".654",".284","999.0","","2.94","3.49","1.91","sa914242"
"Daz Cameron","DET","45","181","164","36","8","2","3","19","16","14","52","4","2",".222",".293",".352",".645",".284","600.7","","5.43","0.99","1.38","18353"
"Kyle Garlick","MIN","13","46","43","9","2","0","2","5","6","3","16","0","0",".215",".272",".386",".658",".283","999.0","","2.58","2.74","1.77","18063"
"Neil Walker","","19","69","61","14","3","0","1","7","7","6","16","0","0",".229",".307",".349",".656",".283","999.0","","2.26","1.54","1.71","7539"
"Yu-Cheng Chang","CLE","22","72","65","14","3","0","2","9","7","6","20","0","0",".218",".286",".362",".648",".283","600.7","","3.55","1.43","1.66","14773"
"Sean Rodriguez","","11","39","34","7","1","0","1","4","4","4","14","0","0",".204",".295",".365",".659",".283","999.0","","1.16","0.97","1.81","6589"
"Elehuris Montero","COL","7","28","26","6","1","0","1","3","3","2","9","0","0",".225",".274",".380",".655",".283","599.0","","5.39","2.45","1.89","sa872477"
"Albert Pujols","LAA","76","323","298","69","12","0","11","33","44","20","48","1","0",".230",".280",".388",".668",".283","578.5","","3.32","0.41","0.64","1177"
"Chad Tromp","SFG","7","27","24","6","1","0","1","3","3","2","6","0","0",".240",".292",".358",".650",".283","600.5","","2.43","1.47","1.90","16953"
"Cole Tucker","PIT","75","283","257","60","13","2","5","32","25","21","66","5","2",".233",".293",".353",".646",".283","599.7","","4.15","-0.37","1.04","17326"
"Sam Travis","SEA","8","29","26","6","1","0","0","3","3","2","7","0","0",".241",".300",".337",".637",".282","999.0","","5.41","2.02","1.89","16263"
"Thairo Estrada","NYY","21","73","68","16","3","0","2","9","7","4","18","1","0",".237",".288",".357",".645",".282","999.0","","2.21","2.44","1.73","16426"
"Charlie Culberson","TEX","42","110","102","23","4","0","3","12","12","6","33","1","1",".227",".278",".375",".653",".282","999.0","","2.18","-1.25","1.54","3298"
"Jose Peraza","NYM","18","71","66","17","3","0","1","8","7","3","11","1","0",".259",".299",".350",".648",".282","999.0","","4.98","2.14","1.80","13593"
"Ronald Torreyes","PHI","30","82","78","19","5","0","1","11","9","3","7","1","0",".245",".284",".363",".647",".282","999.0","","2.59","0.62","1.68","11400"
"Seth Brown","OAK","54","169","155","34","8","1","5","20","20","12","53","1","0",".221",".280",".368",".648",".282","601.0","","5.15","0.71","1.20","18171"
"Cam Gallagher","KCR","45","155","139","33","7","0","3","15","15","11","28","0","0",".236",".298",".340",".638",".282","598.4","","2.00","0.78","1.42","12981"
"Jacob Nottingham","MIL","32","114","102","21","4","0","4","12","14","9","38","1","0",".202",".282",".359",".641",".282","600.1","","1.41","2.61","1.43","16448"
"Luis Barrera","OAK","13","52","48","12","2","1","1","6","5","3","11","1","1",".245",".291",".355",".646",".281","999.0","","3.44","1.74","1.85","sa736690"
"Nicholas Gordon","MIN","9","41","38","9","2","0","0","5","4","2","9","1","0",".247",".296",".347",".642",".281","999.0","","5.10","2.56","1.87","sa828662"
"Roman Quinn","PHI","61","214","195","44","7","2","4","26","18","15","64","16","3",".225",".287",".355",".641",".281","563.4","","3.78","0.23","1.84","13546"
"Rafael Marchan","PHI","14","54","50","12","2","0","1","6","5","4","10","0","0",".240",".303",".325",".629",".281","999.0","","1.21","-0.33","1.80","21646"
"Justin Bour","SFG","30","106","94","19","4","0","4","11","13","11","30","0","0",".197",".282",".381",".663",".281","999.0","","0.00","0.00","1.43","9744"
"Santiago Espinal","TOR","28","110","100","25","5","0","1","13","11","7","20","2","1",".251",".301",".337",".638",".280","999.0","","5.17","0.95","1.65","19997"
"Steven Duggar","SFG","24","89","81","19","4","1","1","10","8","7","25","2","1",".231",".299",".333",".632",".280","999.0","","2.41","2.18","1.69","17719"
"Jahmai Jones","BAL","34","132","120","28","5","1","2","14","12","10","30","2","1",".230",".294",".341",".635",".280","600.5","","3.17","0.18","1.51","18872"
"Phillip Ervin","ATL","22","72","64","14","2","0","1","8","8","7","18","1","0",".214",".300",".325",".625",".280","999.0","","4.15","1.46","1.68","14738"
"Tyler Nevin","BAL","6","23","20","4","1","0","0","3","3","2","4","0","0",".220",".300",".327",".627",".280","999.0","","4.40","3.37","1.90","sa874752"
"Albert Almora Jr.","NYM","59","164","152","37","7","1","4","18","16","9","32","1","1",".243",".288",".367",".656",".280","600.6","","2.52","-0.27","1.40","14109"
"Harold Castro","DET","29","109","103","27","4","1","1","11","10","5","23","1","0",".259",".292",".348",".640",".279","599.3","","2.81","2.01","1.71","14691"
"Dustin Garneau","DET","12","45","40","8","2","0","1","5","4","4","13","0","0",".200",".278",".359",".637",".279","999.0","","2.01","1.15","1.78","9433"
"Sherten Apostel","TEX","8","28","26","5","1","0","1","3","3","2","9","0","0",".207",".280",".355",".635",".279","600.4","","3.88","2.14","1.86","21794"
"Micker Adolfo","CHW","9","38","34","7","1","0","1","4","4","3","14","0","0",".205",".274",".366",".640",".279","999.0","","4.24","2.19","1.81","sa830303"
"Brett Phillips","TBR","26","90","78","15","3","1","3","11","9","10","31","5","1",".197",".291",".357",".648",".279","600.9","","3.22","2.06","1.68","14735"
"Lucas Raley","LAD","6","28","25","6","1","0","1","4","4","2","8","0","0",".233",".296",".334",".630",".279","999.0","","4.93","2.61","1.87","sa918048"
