"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Alexander Palma","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".263",".355",".618",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa739541"
"Charlie Tilson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".296",".332",".628",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","12983"
"Kyle Kasser","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".274",".295",".569",".249","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006916"
"Zachary Shepherd","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".255",".314",".570",".248","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa830224"
"Blake Drake","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".270",".336",".606",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829329"
"Dalton Pompey","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".292",".333",".625",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","12797"
"Cliff Pennington","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".279",".302",".580",".256","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","3395"
"Kenneth Wilson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".269",".299",".568",".250","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa454437"
"Fernando Flores","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".243",".284",".528",".229","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa594366"
"Austen Wade","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".267",".301",".567",".249","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004930"
"John Silviano","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".278",".374",".652",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658243"
"JB Shuck","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".296",".333",".629",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","6677"
"Jorma Rodriguez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".266",".309",".575",".249","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736694"
"Cam Balego","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".266",".309",".575",".252","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004517"
"Daniel Lockhart","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".267",".302",".569",".249","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa598065"
"Jeff Arnold","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".170",".246",".272",".519",".230","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa549361"
"Tyler Frank","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".190",".252",".266",".517",".230","","41","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006660"
"Alex Dunlap","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".252",".282",".534",".236","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004878"
"Jose Gomez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".272",".310",".582",".253","","52","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828331"
"Orlando Pina","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".252",".323",".575",".248","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa916410"
"Ricardo Valenzuela","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".250",".271",".522",".230","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa550659"
"Bernardo Heras","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".243",".284",".527",".228","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa868882"
"Ezequiel Carrera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".293",".346",".639",".278","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","9048"
"Granden Goetzman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".272",".351",".623",".267","","62","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa597785"
"Nick Hundley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".261",".353",".614",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","3376"
"Ramon Torres","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".268",".320",".588",".254","","53","0.0","0.0","","-0.1","0.0","0.0","","999.0","14113"
"Michael Saunders","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".284",".379",".663",".283","","72","0.0","0.0","","0.0","0.0","0.0","","999.0","9981"
"Jay Proctor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".253",".266",".519",".229","","41","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa876187"
"Donny Sands","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".241",".270",".511",".224","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875201"
"Tyler Smith","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".275",".297",".572",".251","","51","0.0","0.0","","-0.1","0.0","0.0","","999.0","12490"
"Colby Fitch","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".174",".254",".266",".520",".232","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915614"
"Payton Henry","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".186",".239",".299",".538",".233","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918019"
"Shane Opitz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".270",".292",".562",".248","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa549070"
"Yanio Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".285",".358",".643",".276","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa975161"
"Greg Cullen","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".267",".285",".552",".244","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007069"
"Daniel Cornejo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".263",".311",".574",".249","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa977260"
"Jose Felix","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".244",".283",".527",".229","","37","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa447630"
"David Fry","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".239",".300",".539",".233","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006787"
"Marco Jaime","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".265",".274",".539",".238","","43","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3001900"
"Michael Rivera","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".244",".274",".518",".228","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829667"
"Mitchell Roman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".265",".284",".550",".242","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918259"
"Christopher Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".269",".268",".537",".239","","43","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa621581"
"Luis Flores","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".233",".296",".529",".229","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa454795"
"Mark Reynolds","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".297",".366",".663",".287","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","7619"
"Leonardo Reginatto","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".274",".290",".564",".249","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa504970"
"Tyler Marlette","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".286",".357",".642",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597836"
"Derek Hill","Tigers","2","7","6","1","0","0","0","1","1","0","2","0","0","0","",".229",".286",".354",".641",".276","","67","0.0","0.0","","-0.3","0.0","0.0","","999.0","16947"
"Leonardo Rivas","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".259",".265",".524",".233","","40","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872542"
"Dennis Ortega","Cardinals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".243",".275",".518",".227","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828381"
"Diego Castillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".256",".277",".533",".234","","40","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872839"
"Elvis Escobar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".271",".331",".603",".260","","57","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657855"
"Ibandel Isabel","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".263",".416",".679",".284","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737017"
"Robert Perez","Mariners","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".266",".359",".624",".267","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3002851"
"Jacob May","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".280",".321",".602",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","14876"
"Carlos Cortes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".260",".298",".557",".243","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008079"
"Joel Diaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".247",".270",".517",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa737204"
"Jacob McCarthy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".263",".319",".582",".252","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007015"
"Luis Juarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".290",".355",".645",".277","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa509384"
"Cole Billingsley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".269",".292",".561",".247","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa873699"
"Patrick Leonard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".288",".350",".638",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa597839"
"Chad Huffman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".297",".368",".665",".287","","75","0.0","0.0","","0.0","0.0","0.0","","999.0","5311"
"Christopher Baker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".263",".305",".568",".246","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918365"
"Agustin Murillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".264",".307",".570",".249","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa244092"
"Jancarlos Cintron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".260",".299",".559",".243","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004065"
"Tanner Dodson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".246",".300",".546",".236","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007008"
"Peter Bourjos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".271",".350",".621",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","2578"
"Carlos Mendivil","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".241",".275",".517",".227","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa737687"
"Samual McMillan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".248",".257",".504",".225","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004277"
"Balbino Fuenmayor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".275",".379",".654",".276","","68","0.0","0.0","","0.0","0.0","0.0","","999.0","sa356978"
"Adam Hall","Orioles","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".255",".274",".529",".233","","39","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005077"
"Ali Castillo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".249",".291",".335",".626",".270","","63","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa507143"
"Chase Vallot","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".156",".235",".277",".512",".226","","35","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828684"
"Brandon Barnes","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".273",".356",".628",".269","","63","0.0","0.0","","-0.1","0.0","0.0","","999.0","629"
"Chase d'Arnaud","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".270",".314",".584",".255","","54","0.0","0.0","","-0.1","0.0","0.0","","999.0","6652"
"Daniel Robertson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".294",".332",".627",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","6266"
"Eguy Rosario","Padres","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".265",".302",".566",".246","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917140"
"Fernando Perez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".275",".373",".648",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa657942"
"Fabricio Macias","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".219",".263",".309",".573",".248","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa927338"
"Tristen Lutz","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".256",".325",".581",".251","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004968"
"Jose Devers","Marlins","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".255",".277",".532",".233","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3003295"
"Melky Cabrera","Mets","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".290",".366",".656",".279","","74","0.0","0.0","","0.0","0.0","0.0","","600.9","4022"
"Ryan Gridley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".256",".283",".539",".236","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa915617"
"Travis Taijeron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".284",".349",".633",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","11935"
"Michael O'Neill","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".278",".330",".608",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa550175"
"Wynton Bernard","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".280",".339",".620",".267","","62","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658999"
"Nicholas Longhi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".287",".376",".663",".283","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738434"
"Brett Vertigan","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".293",".307",".600",".265","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658149"
"Alejandro Gonzalez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".266",".299",".565",".248","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa509640"
"Peter O'Brien","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".272",".365",".637",".272","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","13288"
"Kristopher Negron","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".279",".335",".614",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","5306"
"Roberto Baldoquin","Angels","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".260",".290",".551",".241","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa857538"
"Patrick Dorrian","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".251",".307",".558",".242","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007629"
"Aaron Knapp","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".291",".304",".595",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa873277"
"Connor Myers","Cubs","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".260",".314",".574",".248","","49","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918641"
"Billy Burns","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".291",".310",".601",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","12701"
"Yojhan Quevedo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".234",".289",".523",".226","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa596365"
"Donald Todd","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".171",".238",".267",".505",".223","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008283"
"Daniel Spingola","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".277",".331",".608",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829496"
"Jeffrey Schwarz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".173",".230",".259",".489",".216","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008391"
"Evan Marzilli","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".275",".273",".548",".247","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa621523"
"Joshua Breaux","Yankees","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".181",".223",".292",".515",".222","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008051"
"Dennicher Carrasco","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".250",".321",".571",".244","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa917459"
"Japhet Amador","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".279",".368",".647",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa508601"
"Raul Hernandez","Pirates","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".246",".275",".521",".228","","36","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa873181"
"Ryan Casteel","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".280",".363",".643",".275","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa549286"
"Ciro Norzagaray","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".270",".285",".556",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3002597"
"Blake Rutherford","White Sox","2","7","6","1","0","0","0","1","1","0","2","0","0","0","",".231",".284",".345",".628",".270","","66","0.0","0.0","","-0.3","0.0","0.0","","999.0","sa917932"
"John Sportman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".271",".345",".616",".264","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829450"
"Brice Turang","Brewers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".268",".273",".541",".240","","43","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008294"
"Ryan Rua","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".270",".361",".632",".270","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","12409"
"Noah Naylor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".185",".235",".285",".520",".226","","32","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008247"
"Michael Smith","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".198",".252",".285",".537",".235","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004997"
"Ricardo Valencia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".184",".239",".274",".513",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658082"
"Christopher Peurifoy","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".271",".339",".610",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004686"
"Cadyn Grenier","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".187",".252",".271",".523",".232","","39","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3008140"
"Zachary Kirtley","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".291",".338",".629",".274","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915820"
"Sean Miller","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".253",".289",".542",".235","","41","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875243"
"Lucas Herbert","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".182",".235",".282",".517",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa874793"
"Edgar Robles","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".262",".298",".559",".244","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3005272"
"Isaias Lucena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".183",".242",".268",".510",".225","","34","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736921"
"Alexis Pantoja","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".266",".297",".562",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa829182"
"Samad Taylor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".258",".289",".547",".240","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918192"
"Jeremy Hazelbaker","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".201",".277",".352",".629",".271","","65","0.0","0.0","","0.0","0.0","0.0","","999.0","9399"
"Andrew Deatherage","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".248",".318",".566",".242","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006848"
"Ian Dawkins","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".256",".292",".548",".238","","45","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3006685"
"Jose Alvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".234",".265",".387",".652",".274","","67","0.0","0.0","","0.0","0.0","0.0","","999.0","sa462415"
"Kelby Tomlinson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".282",".284",".566",".250","","50","0.0","0.0","","-0.1","0.0","0.0","","999.0","13005"
"Christopher Proctor","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".192",".235",".279",".514",".223","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007062"
"Ramon Hernandez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".269",".378",".647",".273","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828281"
"Robert Tenerowicz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".280",".327",".607",".264","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa738999"
"Johan Cruz","White Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".197",".246",".277",".523",".229","","38","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736621"
"Brett Siddall","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".213",".272",".339",".612",".263","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa875635"
"Edgardo Fermin","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".254",".300",".554",".240","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa872571"
"Kevin Santa","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".266",".291",".558",".244","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004252"
"Olmo Rosario","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".282",".334",".616",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa202325"
"David Villar","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".253",".308",".562",".243","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3007063"
"Matt Skole","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".299",".356",".655",".283","","73","0.0","0.0","","0.0","0.0","0.0","","999.0","12119"
"Ryan Noda","Blue Jays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".288",".324",".612",".268","","64","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873960"
"Blake Hunt","Rays","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".179",".230",".258",".488",".214","","31","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004153"
"Manuel Geraldo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".252",".287",".539",".234","","42","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa827970"
"Chad Sedio","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".276",".330",".606",".262","","59","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918611"
"Osvaldo Abreu","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".262",".297",".559",".244","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa657398"
"Zachary Borenstein","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".193",".278",".333",".611",".266","","61","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa599252"
"Juan Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".177",".234",".278",".512",".224","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa652681"
"Erisbel Arruebarrena","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".245",".311",".555",".236","","41","0.0","0.0","","-0.1","0.0","0.0","","999.0","15809"
"Austin Beck","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".245",".296",".541",".234","","44","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa3004055"
"Heiker Meneses","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".265",".294",".560",".245","","47","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa506229"
"Rhett Wiseman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".273",".358",".631",".269","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa658608"
"Omar Carrizales","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".277",".326",".603",".262","","58","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa736953"
"Carlos Canelon","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".180",".239",".268",".508",".224","","33","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa828522"
"Matthew Hearn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".292",".326",".617",".269","","48","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa918523"
"Diego Madero","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".258",".301",".559",".243","","46","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa651307"
