"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Cavan Biggio","Blue Jays","141","627","521","122","26","2","20","86","66","92","157","6","13","5","",".234",".353",".404",".757",".329","","105","0.1","-1.0","","3.7","0.8","2.6","","65.3","19252"
"Christian Vazquez","Red Sox","109","443","404","103","21","1","13","51","53","30","89","3","6","3","",".256",".311",".411",".722",".306","","84","-1.3","2.6","","-10.1","10.1","2.5","","149.9","9774"
"Tommy Pham","Padres","125","554","471","126","22","2","21","80","71","70","121","6","14","5","",".268",".367",".457",".823",".350","","118","1.0","0.2","","14.4","-6.3","2.5","","133.1","2967"
"Salvador Perez","Royals","123","534","500","130","26","1","28","68","84","20","114","9","3","1","",".260",".298",".486",".784",".325","","100","-1.5","6.1","","-1.8","12.6","2.5","","80.2","7304"
"Buster Posey","Giants","110","475","422","110","23","1","9","52","50","43","76","5","2","1","",".259",".331",".380",".712",".308","","90","-1.5","4.6","","-7.5","11.0","2.5","","246.1","9166"
"Pete Alonso","Mets","146","634","546","132","23","1","41","92","102","67","166","14","2","1","",".242",".338",".515",".853",".352","","121","-1.6","0.9","","16.2","-11.3","2.5","","57.6","19251"
"Sean Murphy","Athletics","96","373","326","79","16","1","16","46","47","37","89","4","3","1","",".241",".323",".441",".764",".323","","105","0.2","0.0","","2.5","8.1","2.4","","164.8","19352"
"J.P. Crawford","Mariners","150","671","578","138","27","4","14","79","59","74","135","9","12","5","",".239",".332",".373",".705",".307","","93","0.1","-0.7","","-5.5","6.8","2.4","","453.2","15491"
"Brian Anderson","Marlins","150","647","565","141","29","2","21","75","77","61","151","14","3","2","",".250",".336",".420",".756",".324","","103","0.1","-1.5","","2.7","1.0","2.4","","236.4","18289"
"Luis Arraez","Twins","128","531","477","148","29","2","6","63","55","44","48","3","5","2","",".310",".370",".416",".786",".339","","110","-0.2","-1.1","","6.9","-1.0","2.4","","393.3","18568"
"Eugenio Suarez","Reds","150","655","560","133","23","1","35","88","97","80","180","9","3","2","",".238",".340",".471",".811",".341","","107","-1.7","-3.3","","4.2","-0.8","2.4","","76.9","12552"
"Travis d'Arnaud","Braves","105","445","401","105","19","1","18","57","61","35","106","4","2","1","",".261",".324",".447",".771",".326","","98","-0.9","-2.6","","-2.2","6.2","2.4","","137.0","7739"
"Nick Madrigal","White Sox","141","547","498","152","28","2","7","66","57","33","36","7","19","7","",".304",".353",".412",".765",".328","","106","-0.9","-0.4","","2.9","1.9","2.3","","195.2","20521"
"Ian Happ","Cubs","139","594","507","122","24","2","27","82","75","74","173","5","9","3","",".240",".341",".454",".795",".336","","107","0.2","-0.2","","5.5","-0.7","2.3","","166.2","17919"
"Giancarlo Stanton","Yankees","134","575","495","124","22","1","38","86","99","67","181","7","4","2","",".251",".346",".531",".877",".363","","127","-1.0","0.0","","19.0","-15.3","2.3","","118.5","4949"
"Willy Adames","Rays","131","526","466","116","23","2","17","59","62","49","143","4","6","3","",".249",".323",".416",".739",".315","","99","0.8","-1.2","","0.0","5.4","2.3","","370.7","15986"
"Michael Brantley","Astros","139","606","545","154","32","1","19","77","81","50","78","6","5","2","",".282",".346",".449",".795",".337","","114","-0.3","-0.1","","10.4","-8.4","2.3","","149.0","4106"
"Rhys Hoskins","Phillies","134","587","479","112","23","1","31","86","84","92","142","9","3","1","",".234",".365",".480",".845",".357","","120","-0.8","1.2","","14.5","-10.1","2.3","","161.8","16472"
"J.D. Martinez","Red Sox","149","647","567","158","33","1","34","94","105","70","152","5","3","1","",".279",".360",".523",".883",".365","","124","-2.3","-0.4","","17.8","-17.5","2.2","","93.0","6184"
"Joc Pederson","Cubs","126","548","472","117","24","3","29","80","76","59","121","9","4","2","",".247",".340",".493",".833",".348","","115","-0.1","1.1","","10.5","-5.5","2.2","","305.3","11899"
"Kyle Seager","Mariners","149","634","560","131","28","1","26","74","81","60","127","8","5","2","",".235",".316",".428",".744",".314","","98","-1.1","0.4","","-2.7","2.9","2.2","","273.1","9785"
"Kyle Schwarber","Nationals","121","516","437","107","19","1","33","77","82","68","143","5","4","2","",".244",".350",".517",".867",".358","","119","-0.7","-0.1","","12.2","-6.4","2.2","","192.6","16478"
"Javier Baez","Cubs","150","646","601","153","32","3","30","82","97","33","181","6","12","5","",".255",".298",".469",".766",".317","","95","1.2","-2.6","","-3.5","4.9","2.2","","74.8","12979"
"Starling Marte","Marlins","146","646","590","161","31","3","19","78","78","35","118","14","23","8","",".272",".325",".434",".759",".321","","102","1.7","-4.1","","3.0","-1.7","2.2","","49.6","9241"
"Tim Anderson","White Sox","150","664","621","171","33","2","23","85","79","29","148","5","17","6","",".275",".310",".445",".756",".317","","98","1.6","-8.8","","-0.1","-1.3","2.1","","45.3","15172"
"Danny Jansen","Blue Jays","92","358","311","74","14","1","13","44","43","36","71","6","2","1","",".238",".326",".413",".739",".317","","96","-0.4","0.3","","-2.0","8.0","2.1","","310.9","16535"
"Jorge Polanco","Twins","125","557","499","135","29","3","15","74","64","46","94","4","7","3","",".270",".335",".432",".768",".326","","102","0.1","-2.0","","1.4","0.7","2.1","","223.8","13152"
"Randy Arozarena","Rays","144","607","537","138","27","2","24","78","76","47","145","14","20","9","",".257",".331",".450",".780",".330","","109","-0.3","0.2","","6.7","-7.0","2.1","","58.3","19290"
"Jean Segura","Phillies","138","596","544","153","28","3","15","73","70","39","87","6","9","4","",".281",".334",".428",".761",".323","","97","1.2","-0.3","","-0.9","2.5","2.0","","190.2","5933"
"Joey Gallo","Rangers","149","634","533","112","22","1","40","85","96","89","224","6","6","3","",".210",".327",".480",".808",".336","","100","0.8","5.1","","1.2","-2.7","2.0","","159.7","14128"
"Mark Canha","Athletics","139","587","499","122","26","3","21","72","73","67","137","15","4","2","",".244",".347",".436",".783",".334","","112","-0.5","0.2","","8.8","-8.6","2.0","","255.2","11445"
"Jeimer Candelario","Tigers","139","594","515","128","28","4","21","73","73","64","147","8","4","2","",".248",".339",".440",".778",".331","","104","-0.4","-0.8","","2.8","-3.2","2.0","","259.7","13621"
"Max Muncy","Dodgers","131","562","464","108","18","1","26","79","75","84","146","7","3","1","",".233",".356",".447",".803",".342","","114","-0.1","2.1","","10.5","-8.5","2.0","","93.7","13301"
"Brandon Nimmo","Mets","110","481","389","93","18","3","14","66","48","74","118","12","7","3","",".239",".374",".411",".784",".342","","115","0.3","-6.5","","9.9","-5.3","2.0","","253.8","12927"
"David Fletcher","Angels","147","654","591","163","33","2","8","79","58","50","72","4","8","3","",".276",".334",".382",".716",".309","","92","0.0","1.2","","-6.9","3.9","1.9","","227.1","17992"
"Didi Gregorius","Phillies","138","580","527","134","24","4","24","71","81","39","84","7","6","3","",".255",".313",".450",".762",".318","","94","0.4","-1.5","","-4.1","5.3","1.9","","162.3","6012"
"Willson Contreras","Cubs","104","435","377","95","20","1","17","55","57","43","108","11","3","1","",".251",".342",".444",".786",".334","","106","-1.1","0.5","","2.1","8.3","1.9","","123.0","11609"
"Austin Nola","Padres","97","405","358","90","18","2","10","47","47","37","86","5","2","1","",".251",".328",".397",".725",".311","","93","-0.1","-0.3","","-4.1","6.8","1.9","","162.9","15941"
"Giovanny Urshela","Yankees","143","579","527","142","28","1","18","68","73","39","106","6","3","1","",".269",".324",".428",".752",".319","","98","-1.1","-0.7","","-2.8","1.7","1.9","","161.2","10681"
"Miguel Rojas","Marlins","131","551","497","135","27","2","10","61","53","39","73","7","10","4","",".271",".330",".389",".719",".308","","93","-0.6","0.4","","-5.8","7.0","1.9","","445.2","7802"
"Carlos Santana","Royals","146","634","525","130","26","1","25","82","83","99","105","4","2","1","",".247",".367",".443",".810",".345","","113","-0.6","-0.8","","10.2","-13.7","1.8","","281.4","2396"
"Mike Moustakas","Reds","146","620","552","137","26","1","35","83","97","54","116","8","3","1","",".249",".323",".490",".813",".337","","104","-2.0","-4.7","","1.7","-2.8","1.8","","117.3","4892"
"Austin Riley","Braves","138","555","499","128","24","2","29","73","83","43","146","6","2","1","",".257",".321",".484",".805",".334","","103","-0.5","-3.0","","2.0","-1.1","1.8","","210.9","18360"
"Brandon Belt","Giants","126","547","461","117","28","2","20","72","69","75","121","5","3","1","",".253",".360",".451",".811",".345","","115","-1.3","2.4","","9.3","-8.1","1.8","","405.7","10264"
"Dansby Swanson","Braves","149","642","565","141","30","2","20","82","74","61","152","6","11","4","",".249",".327",".414",".740",".315","","91","1.2","-3.0","","-6.6","4.5","1.8","","107.9","18314"
"Max Stassi","Angels","80","313","273","60","11","1","11","36","37","31","87","4","2","1","",".220",".307",".390",".697",".300","","85","-0.8","-2.0","","-6.7","4.7","1.8","","378.2","10059"
"Luke Voit","Yankees","141","615","532","134","22","1","30","86","86","67","159","9","1","1","",".251",".342",".468",".810",".342","","113","-0.9","-1.4","","9.4","-13.1","1.8","","60.2","14811"
"Whit Merrifield","Royals","150","691","627","176","37","4","16","93","67","46","113","7","24","7","",".281",".335",".427",".762",".323","","99","1.9","-2.0","","0.7","-7.1","1.7","","41.8","11281"
"Cesar Hernandez","Indians","131","567","496","134","26","1","10","67","53","58","107","5","6","2","",".270",".350",".388",".738",".320","","96","0.2","-1.3","","-3.0","0.9","1.7","","376.4","10556"
"Harrison Bader","Cardinals","130","510","443","102","19","3","17","59","58","48","151","11","12","5","",".231",".319",".399",".718",".308","","91","0.7","5.0","","-5.6","6.9","1.7","","502.6","18030"
"Jose Iglesias","Angels","130","539","502","136","30","2","10","58","60","23","71","7","6","3","",".270",".309",".396",".705",".300","","85","0.5","1.6","","-9.5","8.1","1.7","","456.8","10231"
"Lorenzo Cain","Brewers","138","614","539","140","26","1","13","75","57","59","112","7","17","5","",".260",".339",".383",".721",".313","","90","1.5","1.7","","-6.3","3.9","1.7","","253.0","9077"
"Roberto Perez","Indians","89","350","306","63","12","1","11","37","37","35","107","4","1","0","",".207",".294",".361",".656",".284","","71","-1.1","4.5","","-14.1","11.9","1.7","","484.3","2900"
"Tommy La Stella","Giants","96","422","373","106","21","2","10","54","46","38","41","5","2","1","",".284",".355",".434",".789",".337","","110","-0.5","-2.0","","5.0","-1.5","1.7","","321.4","12371"
"Ryan Jeffers","Twins","75","290","260","68","13","1","11","37","38","21","66","4","2","1","",".262",".324",".446",".770",".326","","101","-0.1","-0.5","","0.4","5.8","1.7","","999.0","24618"
"Jose Abreu","White Sox","150","658","598","162","33","1","33","87","102","43","151","11","2","1","",".270",".328",".495",".823",".342","","115","-1.5","-3.8","","10.8","-17.1","1.6","","37.9","15676"
"Eddie Rosario","Indians","128","547","506","139","27","1","28","72","88","33","91","2","5","2","",".276",".321",".498",".819",".339","","108","0.1","-1.8","","5.9","-8.3","1.6","","110.1","12155"
"Lourdes Gurriel Jr.","Blue Jays","138","584","539","144","28","1","28","76","87","33","135","6","8","4","",".267",".315",".477",".792",".331","","106","-0.8","-0.4","","3.6","-7.4","1.6","","86.8","19238"
"Carson Kelly","Diamondbacks","89","347","302","73","14","1","12","40","40","36","71","3","1","1","",".241",".327",".410",".737",".312","","89","-0.4","-0.3","","-5.4","7.1","1.6","","245.1","13620"
"Willi Castro","Tigers","118","494","452","121","21","5","13","58","56","29","112","6","8","3","",".267",".318",".422",".740",".314","","92","-0.4","-1.6","","-5.2","4.3","1.6","","247.0","17338"
"Will Smith","Dodgers","92","369","321","76","15","1","19","50","53","38","88","5","2","1","",".238",".325",".464",".789",".331","","107","-0.7","0.8","","2.8","8.5","1.6","","93.8","19197"
"Jesse Winker","Reds","111","475","402","109","20","1","19","65","62","59","90","8","3","1","",".272",".373",".470",".843",".358","","118","-0.9","-3.7","","10.4","-9.6","1.6","","207.6","13590"
"Nelson Cruz","Twins","133","581","505","132","22","1","32","81","92","61","154","9","1","1","",".262",".349",".499",".848",".351","","119","-2.7","0.0","","11.2","-15.5","1.6","","95.1","2434"
"Andrew Benintendi","Royals","131","573","494","127","26","3","16","73","62","66","120","6","12","5","",".256",".348",".420",".768",".330","","103","0.2","0.0","","2.4","-6.5","1.6","","225.7","17901"
"Dylan Carlson","Cardinals","136","538","479","120","24","4","18","64","64","46","122","5","11","5","",".250",".320",".424",".744",".315","","96","-0.4","8.0","","-3.5","2.2","1.6","","999.0","20126"
"Gary Sanchez","Yankees","87","363","317","71","12","1","22","49","57","36","106","5","1","0","",".223",".311",".476",".788",".328","","104","-0.7","-2.6","","1.2","4.7","1.5","","166.1","11442"
"Kevin Kiermaier","Rays","122","490","438","101","18","5","14","53","53","39","120","6","15","5","",".229",".299",".388",".687",".292","","83","1.5","5.3","","-8.9","7.3","1.5","","508.6","11038"
"Austin Hays","Orioles","126","528","486","123","22","1","22","63","66","29","113","6","11","5","",".254",".301",".442",".743",".312","","93","-0.1","0.9","","-4.8","1.8","1.5","","233.6","19363"
"Jorge Soler","Royals","143","616","531","130","27","1","32","83","90","70","176","9","3","1","",".245",".340",".482",".822",".345","","113","-0.7","-0.9","","9.7","-15.8","1.5","","141.7","14221"
"Chris Taylor","Dodgers","128","525","460","114","27","4","15","65","62","52","148","6","7","3","",".247",".330",".418",".748",".319","","99","0.7","-2.5","","0.1","-1.5","1.5","","215.3","13757"
"J.D. Davis","Mets","101","427","376","96","18","1","17","54","55","41","101","5","2","1","",".254",".333",".441",".774",".328","","106","-0.9","-2.0","","2.4","-0.7","1.5","","225.8","16219"
"Amed Rosario","Indians","100","415","384","108","20","3","10","49","47","22","76","3","11","5","",".281",".322",".428",".750",".316","","93","0.8","-0.8","","-2.9","3.6","1.5","","293.6","15518"
"Anthony Santander","Orioles","146","639","587","154","33","2","30","82","89","38","123","6","5","2","",".261",".311",".478",".789",".326","","103","-0.9","-0.2","","1.1","-8.4","1.5","","160.1","14551"
"Nico Hoerner","Cubs","119","463","417","114","22","3","9","54","51","33","68","6","10","4","",".273",".333",".407",".739",".316","","94","0.3","1.6","","-3.3","3.5","1.5","","467.6","21479"
"Franmil Reyes","Indians","150","631","557","143","25","1","36","86","97","62","171","4","1","0","",".257",".334",".500",".834",".347","","114","-1.0","0.0","","10.3","-17.5","1.5","","154.2","14566"
"Kolten Wong","Brewers","130","550","480","122","23","4","11","65","53","51","91","12","14","5","",".254",".338",".385",".722",".312","","90","1.1","1.4","","-6.3","3.5","1.5","","333.5","12532"
"Yadier Molina","Cardinals","95","389","358","92","17","1","10","40","43","21","61","5","3","1","",".256",".304",".393",".697",".298","","84","-2.0","2.8","","-10.2","10.7","1.5","","272.1","7007"
