"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Deivy Grullon","Reds","6","27","25","6","1","0","1","3","3","2","9","0","0",".223",".279",".386",".665",".287","598.5","15988"
"Lane Thomas","Cardinals","44","196","177","39","8","1","6","23","19","16","58","4","1",".219",".288",".371",".658",".287","599.6","16939"
"Jose Marmolejos","Mariners","71","302","276","63","13","1","9","30","32","21","77","1","0",".228",".287",".375",".663",".287","592.1","15767"
"Nicholas Gordon","Twins","3","14","13","3","1","0","0","2","1","1","3","0","0",".245",".296",".362",".658",".287","999.0","sa828662"
"Jake Marisnick","","68","309","278","60","12","1","11","37","31","20","97","8","3",".216",".279",".384",".664",".287","599.5","11339"
"Jose Peraza","","5","22","20","5","1","0","0","2","2","1","3","1","0",".254",".298",".361",".659",".286","999.0","13593"
"Phil Gosselin","Angels","11","49","45","10","2","0","1","5","5","4","11","0","0",".234",".298",".357",".654",".286","999.0","10953"
"Mickey Moniak","Phillies","19","88","82","19","5","1","2","10","9","5","24","1","0",".235",".286",".378",".664",".286","999.0","19956"
"Michael A. Taylor","Royals","81","344","313","70","15","2","10","39","36","26","103","10","3",".224",".285",".379",".664",".286","545.5","11489"
"Andrew Stevenson","Nationals","60","273","249","59","11","2","5","31","24","20","73","6","2",".238",".300",".351",".651",".286","537.2","17932"
"Albert Almora Jr.","Mets","45","205","190","47","9","1","5","22","21","12","38","1","0",".248",".293",".372",".665",".286","597.7","14109"
"Tony Kemp","Athletics","87","371","329","77","14","2","4","40","28","34","58","8","3",".235",".311",".331",".643",".286","599.6","14894"
"Kyle Holder","Reds","45","205","188","45","9","1","4","22","20","14","37","1","1",".240",".294",".362",".656",".286","999.0","sa857840"
"Adam Engel","White Sox","71","306","278","63","13","2","8","36","28","19","84","7","2",".225",".287",".368",".655",".286","593.7","15082"
"Santiago Espinal","Blue Jays","8","35","32","8","2","0","1","4","3","2","7","0","0",".245",".298",".357",".654",".285","999.0","19997"
"Oscar Mercado","Indians","110","470","425","99","21","2","10","54","43","32","105","17","5",".232",".292",".363",".655",".285","374.5","16375"
"Travis Demeritte","Braves","8","37","33","7","2","0","1","4","4","3","12","0","0",".212",".285",".370",".655",".285","999.0","15958"
"Troy Stokes","Pirates","2","7","6","1","0","0","0","1","1","1","2","0","0",".212",".295",".352",".647",".285","999.0","sa828871"
"Guillermo Heredia","Mets","6","29","26","6","1","0","1","3","3","2","6","0","0",".227",".306",".336",".642",".285","999.0","18721"
"Luis Guillorme","Mets","47","213","189","45","8","0","2","22","18","21","42","2","1",".237",".315",".321",".636",".285","600.4","16451"
"Chad Tromp","Giants","3","14","12","3","1","0","0","1","2","1","3","0","0",".225",".284",".373",".657",".285","999.0","16953"
"Ehire Adrianza","","18","81","73","17","4","0","1","9","8","6","17","1","0",".234",".302",".346",".648",".285","599.7","8418"
"Gerardo Parra","","26","118","108","26","5","0","2","13","12","8","24","2","1",".243",".299",".353",".652",".285","999.0","8553"
"Jasrado Chisholm","Marlins","47","208","188","39","7","1","7","24","22","17","74","4","1",".207",".280",".376",".656",".285","999.0","20454"
"Jake Rogers","Tigers","31","120","107","22","5","1","4","13","13","11","38","1","0",".202",".284",".367",".651",".285","600.9","19452"
"Mark Mathias","Brewers","15","66","59","13","3","0","1","7","6","5","16","1","0",".223",".297",".350",".646",".285","999.0","18032"
"Yolmer Sanchez","Orioles","71","299","270","64","13","2","4","32","23","23","65","4","2",".238",".303",".342",".645",".285","598.1","11602"
"Greg Allen","Yankees","6","28","25","6","1","0","0","3","2","2","6","1","0",".228",".304",".337",".642",".284","999.0","16623"
"Daz Cameron","Tigers","24","104","93","20","4","1","2","11","9","8","31","2","1",".219",".291",".359",".650",".284","599.6","18353"
"Hernan Perez","","3","15","14","3","1","0","0","2","2","1","3","0","0",".238",".280",".381",".661",".284","999.0","5751"
"Max Schrock","Reds","10","44","40","10","2","0","1","5","4","3","7","1","0",".242",".299",".349",".648",".284","999.0","17750"
"Jared Oliva","Pirates","44","194","175","41","9","1","3","21","16","13","50","6","1",".234",".297",".352",".649",".284","999.0","19968"
"Kramer Robertson","Cardinals","2","7","6","1","0","0","0","1","1","1","1","0","0",".226",".308",".328",".636",".284","999.0","sa857820"
"Brett Phillips","Rays","16","70","61","12","3","0","2","8","7","7","24","2","1",".200",".290",".359",".649",".284","600.9","14735"
"Joey Bart","Giants","19","80","74","17","3","0","2","9","9","4","22","0","0",".230",".280",".378",".658",".284","464.5","21524"
"Jacob Stallings","Pirates","94","381","345","80","17","0","8","35","40","27","90","0","0",".233",".295",".357",".652",".284","422.9","13723"
"Jahmai Jones","Orioles","66","279","252","58","11","1","6","30","24","22","65","5","2",".229",".296",".350",".646",".284","600.8","18872"
"Estevan Florial","Yankees","3","14","13","3","1","0","0","2","1","1","5","0","0",".212",".286",".363",".649",".283","999.0","19151"
"Connor Chatham","Phillies","19","88","83","21","4","0","1","9","9","4","21","1","0",".255",".294",".361",".655",".283","999.0","sa873984"
"Jacob Nottingham","Brewers","32","135","122","25","5","0","5","14","16","9","44","1","0",".208",".280",".373",".653",".283","599.1","16448"
"DJ Peters","Dodgers","2","7","7","1","0","0","0","1","1","1","3","0","0",".202",".282",".366",".648",".283","999.0","sa829712"
"Ildemaro Vargas","Cubs","31","140","130","33","6","1","2","14","13","8","18","1","0",".251",".296",".354",".649",".283","999.0","13324"
"Cole Tucker","Pirates","99","438","398","93","19","3","7","47","39","33","103","10","2",".233",".295",".352",".647",".283","598.6","17326"
"Kevin Smith","Blue Jays","2","7","6","1","0","0","0","1","1","0","2","0","0",".214",".267",".396",".663",".283","999.0","sa915864"
"Tim Lopes","Brewers","8","37","34","8","2","0","0","4","3","2","8","1","0",".243",".297",".348",".645",".283","999.0","14137"
"Steven Duggar","Giants","24","109","99","23","5","1","2","12","9","9","32","2","1",".230",".297",".346",".644",".283","999.0","17719"
"Donnie Walton","Mariners","6","27","25","6","1","0","0","3","2","2","5","0","0",".232",".304",".333",".637",".283","999.0","19314"
"Matt Reynolds","White Sox","3","14","12","3","1","0","0","1","1","1","4","0","0",".224",".301",".337",".638",".283","999.0","13788"
"Cedric Mullins II","Orioles","45","191","174","40","9","1","4","21","16","13","39","5","1",".231",".288",".361",".649",".282","467.4","17929"
"Delino DeShields","","34","144","125","29","5","1","2","17","8","14","36","6","2",".230",".310",".322",".633",".282","600.1","11379"
"Taylor Trammell","Mariners","49","206","182","39","8","1","5","22","18","20","60","4","1",".214",".297",".341",".637",".282","999.0","sa917943"
"Jason Martin","","2","7","6","1","0","0","0","1","1","1","2","0","0",".226",".286",".365",".651",".282","999.0","16429"
"Danny Mendick","White Sox","19","83","76","17","3","0","2","9","8","6","18","1","0",".229",".294",".349",".642",".282","999.0","18889"
"Will Craig","Pirates","15","65","58","13","3","0","2","6","7","5","19","0","0",".215",".288",".357",".645",".282","999.0","19267"
"Breyvic Valera","Blue Jays","2","7","6","2","0","0","0","1","1","1","1","0","0",".238",".300",".342",".643",".282","999.0","12758"
"Jose Briceno","Rockies","13","53","49","11","2","0","2","6","6","3","13","1","0",".225",".269",".389",".659",".282","999.0","13151"
"Alex Jackson","Braves","32","135","122","25","5","0","5","15","17","9","51","0","0",".203",".271",".385",".656",".282","599.6","17276"
"Pat Valaika","Orioles","42","177","164","36","7","0","6","18","19","10","48","1","0",".221",".269",".389",".658",".282","517.7","14885"
"Jonathan Davis","Blue Jays","8","35","31","7","1","0","1","4","3","3","9","1","0",".213",".297",".339",".636",".282","999.0","15104"
"Sheldon Neuse","Dodgers","23","104","96","22","4","0","2","12","11","7","33","1","0",".232",".288",".360",".648",".282","599.4","19635"
"Edmundo Sosa","Cardinals","34","153","142","34","7","1","3","16","15","7","35","1","1",".242",".286",".365",".651",".282","999.0","17022"
"Sean Rodriguez","","10","42","36","7","1","0","1","5","4","4","15","0","0",".193",".288",".347",".636",".282","999.0","6589"
"Brandon Drury","Mets","6","29","27","6","1","0","1","3","3","2","7","0","0",".224",".284",".363",".647",".281","999.0","11615"
"Mike Freeman","Indians","3","14","12","3","1","0","0","1","1","1","4","0","0",".229",".301",".334",".635",".281","999.0","11241"
"Kyle Garlick","Twins","5","21","19","4","1","0","1","2","2","1","7","0","0",".212",".271",".384",".655",".281","999.0","18063"
"Alexander De Goti","Astros","3","14","13","3","1","0","0","2","1","1","3","0","0",".228",".289",".352",".641",".281","999.0","sa919320"
"Blake Rutherford","White Sox","2","7","6","1","0","0","0","1","1","0","2","0","0",".232",".288",".358",".646",".281","999.0","sa917932"
"Thairo Estrada","Yankees","15","63","59","14","2","0","1","7","6","3","15","1","0",".238",".287",".358",".645",".281","999.0","16426"
"Charlie Culberson","","42","178","165","38","7","1","5","18","18","10","48","2","1",".229",".279",".372",".651",".281","999.0","3298"
"Micker Adolfo","White Sox","18","76","69","14","3","0","3","8","8","6","30","0","0",".205",".279",".362",".641",".280","999.0","sa830303"
"Patrick Higgins","Cubs","5","20","18","4","1","0","0","2","2","2","4","0","0",".230",".298",".335",".633",".280","999.0","sa875573"
"Roman Quinn","Phillies","53","243","221","50","9","2","5","32","19","17","73","14","3",".227",".289",".350",".640",".280","528.8","13546"
"Cam Gallagher","Royals","37","144","130","30","6","0","3","13","14","11","28","0","0",".228",".292",".346",".638",".280","595.5","12981"
"Eli White","Rangers","29","123","112","25","5","1","2","13","11","9","36","2","1",".224",".289",".348",".636",".280","999.0","19346"
"Vimael Machin","Athletics","29","124","110","25","5","0","1","12","10","12","22","1","0",".231",".306",".326",".632",".280","999.0","17684"
"Juan Lagares","Angels","18","77","70","17","3","0","1","8","7","5","18","1","0",".236",".295",".347",".642",".279","999.0","5384"
"Brian O'Grady","Padres","11","52","46","9","2","0","2","6","6","5","16","1","0",".200",".279",".365",".644",".279","999.0","16729"
"Erik Gonzalez","Pirates","52","230","213","51","11","1","4","24","21","12","59","4","1",".239",".282",".362",".644",".279","570.9","13369"
"Roberto Perez","Indians","96","373","324","66","11","1","11","39","35","38","119","1","0",".203",".291",".341",".631",".279","484.3","2900"
"John Hicks","Rangers","5","19","17","4","1","0","1","2","2","1","6","0","0",".221",".270",".376",".646",".279","999.0","12547"
"Austin Allen","Athletics","16","63","58","13","3","0","2","6","7","4","17","0","0",".221",".279",".366",".645",".279","600.2","18083"
"Yu-Cheng Chang","Indians","11","48","43","9","2","0","1","5","5","4","15","0","0",".209",".284",".353",".636",".278","600.3","14773"
"Austin Hedges","Indians","50","195","176","36","7","0","8","20","23","14","58","1","0",".204",".270",".376",".647",".278","597.5","12976"
"Kelvin Gutierrez","Royals","6","28","25","6","1","0","0","3","2","2","7","0","0",".233",".291",".341",".632",".278","999.0","17468"
"Reese McGuire","Blue Jays","37","147","133","30","6","0","3","16","14","11","31","1","0",".224",".287",".350",".636",".278","601.0","15674"
"Bryan Holaday","Diamondbacks","3","14","12","3","1","0","0","1","1","1","3","0","0",".227",".293",".345",".638",".278","999.0","11287"
"Tyler Wade","Yankees","24","106","95","21","4","0","2","12","9","9","27","3","1",".221",".292",".337",".629",".278","600.5","15730"
"Tyrone Taylor","Brewers","21","95","88","19","4","0","3","10","10","5","22","1","0",".220",".273",".369",".642",".278","600.4","13675"
"Anthony Alford","Pirates","97","431","388","85","18","2","8","48","36","34","137","15","3",".219",".290",".338",".629",".278","583.4","14329"
"Tyler Heineman","","8","33","30","7","1","0","1","3","3","2","6","0","0",".226",".291",".341",".632",".278","999.0","13897"
"Grayson Greiner","Tigers","49","189","172","36","7","1","6","19","20","14","56","0","0",".211",".277",".360",".636",".278","599.4","17062"
"Nicky Lopez","Royals","130","550","499","122","20","4","4","56","43","40","82","8","3",".244",".303",".322",".625",".277","596.9","19339"
"Rene Rivera","","19","77","70","15","3","0","3","8","9","5","25","0","0",".209",".272",".366",".638",".277","999.0","3648"
"Nate Orf","","8","34","30","6","1","0","0","3","3","3","7","0","0",".216",".304",".313",".618",".277","999.0","15407"
"Dustin Fowler","Athletics","11","48","45","10","2","0","1","5","5","3","13","1","0",".226",".274",".368",".642",".277","599.6","17098"
"Sergio Alcantara","Cubs","3","15","13","3","1","0","0","1","1","1","3","0","0",".235",".301",".322",".622",".277","999.0","16417"
"Beau Taylor","Indians","16","63","55","11","2","0","1","6","5","7","19","0","0",".205",".300",".314",".615",".276","999.0","12384"
"Dee Gordon","","44","198","185","49","6","2","1","24","14","8","32","9","3",".264",".298",".332",".630",".276","586.6","8203"
"Jose  Garcia","Reds","40","183","170","40","9","0","4","20","18","8","48","2","1",".233",".279",".357",".636",".276","999.0","23378"
"Garrett Stubbs","Astros","8","32","29","6","1","0","0","3","3","3","6","0","0",".220",".293",".331",".624",".276","999.0","18067"
"Travis Jankowski","","15","66","59","14","2","0","0","8","4","6","16","3","1",".231",".308",".303",".611",".276","999.0","13768"
"Jonah Heim","Rangers","60","232","212","48","10","0","5","21","22","17","44","0","0",".225",".285",".344",".629",".275","575.4","16930"
"Ronnie Dawson","Astros","6","28","25","5","1","0","1","3","3","2","9","1","0",".203",".279",".347",".626",".275","999.0","sa873674"
"Lewis Brinson","Marlins","68","302","276","60","12","2","8","32","29","19","89","5","2",".216",".276",".358",".633",".275","587.8","14352"
"Dustin Garneau","Tigers","6","26","23","5","1","0","1","2","3","2","7","0","0",".199",".275",".350",".625",".275","999.0","9433"
"Luis Barrera","Athletics","18","76","70","16","3","1","1","8","6","5","18","1","0",".233",".284",".344",".628",".274","999.0","sa736690"
"Michael Perez","Pirates","40","164","148","31","7","0","4","15","17","14","44","0","0",".212",".282",".340",".622",".273","999.0","12977"
"Jack Mayfield","Braves","5","22","21","5","1","0","1","2","2","1","5","0","0",".220",".269",".362",".631",".273","999.0","15402"
"Harold Castro","Tigers","29","124","116","29","5","1","1","12","11","6","25","1","0",".248",".287",".337",".625",".273","598.4","14691"
"Tony Wolters","","28","112","99","22","4","0","1","10","9","10","24","0","0",".224",".302",".310",".612",".273","999.0","11470"
"Seby Zavala","White Sox","3","13","12","2","1","0","0","1","1","1","5","0","0",".204",".267",".361",".628",".273","999.0","18887"
"Meibrys Viloria","Royals","13","50","46","10","2","0","1","5","5","4","13","0","0",".226",".289",".327",".616",".273","999.0","17109"
"Lucas Erceg","","11","51","47","10","2","0","1","5","5","4","13","0","0",".214",".273",".354",".626",".272","999.0","sa872722"
"Braden Bishop","Mariners","19","82","74","17","3","0","1","8","7","6","21","1","0",".223",".291",".321",".613",".272","999.0","17806"
"Jason Vosler","Giants","5","22","20","4","1","0","1","2","2","2","7","0","0",".204",".276",".344",".620",".272","999.0","sa829190"
"Jake Noll","Nationals","8","37","34","8","2","0","1","4","4","2","8","0","0",".234",".277",".350",".626",".272","999.0","19703"
"Jon Jay","","8","35","32","8","1","0","0","3","3","2","7","0","0",".240",".301",".304",".605",".271","999.0","5227"
"Jose Trevino","Rangers","91","353","329","76","15","0","9","32","36","18","64","0","0",".230",".271",".356",".626",".271","510.5","16725"
"Chad Wallach","Marlins","66","269","240","50","10","0","6","25","25","22","79","0","0",".207",".282",".330",".612",".271","598.7","17161"
"Chris Davis","Orioles","40","170","150","28","5","0","6","17","18","17","63","0","0",".185",".275",".336",".611",".270","600.8","9272"
"Richie Martin Jr.","Orioles","24","102","93","21","4","1","2","11","7","6","26","2","1",".223",".284",".329",".613",".270","600.0","17736"
"Derek Hill","Tigers","2","7","6","1","0","0","0","1","1","0","2","0","0",".214",".273",".340",".614",".269","999.0","16947"
"Magneuris Sierra","Marlins","31","136","127","30","5","1","1","15","10","7","28","5","1",".240",".285",".328",".612",".269","597.2","17023"
"Austin Wynns","","3","13","11","3","0","0","0","1","1","1","3","0","0",".221",".283",".320",".604",".268","999.0","15271"
