"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Mike Trout","Angels","157","681","543","159","29","3","47","119","116","120","145","11","4",".293",".429",".616","1.045",".431","6.1","10155"
"Juan Soto","Nationals","154","701","574","173","35","3","38","114","111","119","123","11","5",".301",".421",".574",".995",".415","3.9","20123"
"Freddie Freeman","Braves","157","716","609","183","39","3","34","111","107","94","126","7","3",".301",".399",".542",".941",".396","12.6","5361"
"Christian Yelich","Brewers","156","704","598","171","32","3","37","110","105","95","162","18","6",".287",".388",".535",".923",".390","11.6","11477"
"Bryce Harper","Phillies","157","714","584","157","33","2","39","110","109","118","160","14","5",".269",".395",".531",".926",".389","19.5","11579"
"Mookie Betts","Dodgers","157","723","625","184","39","4","35","118","106","85","103","20","5",".294",".380",".538",".919",".387","3.7","13611"
"Alex Bregman","Astros","154","667","561","157","35","3","33","101","99","92","89","5","1",".280",".386",".527",".913",".387","42.2","17678"
"Cody Bellinger","Dodgers","151","693","596","167","36","4","40","112","111","88","131","15","4",".280",".373",".553",".927",".386","15.9","15998"
"Ronald Acuna Jr.","Braves","156","709","610","171","32","3","39","120","104","86","183","31","8",".281",".376",".540",".916",".386","1.7","18401"
"Anthony Rendon","Angels","154","667","567","161","35","2","30","95","94","84","95","2","1",".285",".382",".513",".895",".379","41.8","12861"
"Aaron Judge","Yankees","134","584","491","126","22","1","35","91","87","83","177","4","2",".257",".370",".521",".891",".378","55.9","15640"
"Yordan Alvarez","Astros","131","569","491","136","29","2","32","83","93","69","141","3","1",".278",".368",".536",".904",".378","79.8","19556"
"Fernando Tatis Jr.","Padres","154","699","619","172","34","6","38","112","105","67","188","26","7",".278",".355",".536",".890",".375","2.5","19709"
"Jose Ramirez","Indians","154","656","574","158","36","4","35","100","96","71","92","24","6",".274",".357",".532",".889",".374","11.3","13510"
"George Springer","Blue Jays","146","631","543","148","24","2","33","96","89","74","123","5","2",".272",".366",".509",".875",".374","49.7","12856"
"Trevor Story","Rockies","152","680","610","171","40","5","35","106","98","59","175","26","6",".281",".348",".536",".883",".371","12.3","12564"
"Eugenio Suarez","Reds","156","702","608","157","26","2","46","105","114","78","185","3","1",".259",".350",".532",".882",".370","76.9","12552"
"Marcell Ozuna","Braves","151","687","608","171","29","2","37","101","105","70","143","4","1",".281",".357",".518",".875",".369","47.5","10324"
"Xander Bogaerts","Red Sox","151","646","573","166","33","2","28","92","86","62","116","7","2",".291",".362",".502",".864",".366","35.1","12161"
"J.D. Martinez","Red Sox","149","639","561","157","32","2","31","89","91","67","150","2","1",".279",".357",".509",".867",".364","93.0","6184"
"Anthony Rizzo","Cubs","157","713","603","162","31","3","29","97","93","82","105","7","3",".268",".374",".474",".848",".364","104.7","3473"
"Giancarlo Stanton","Yankees","134","584","506","128","21","1","37","86","89","67","168","3","1",".253",".346",".516",".863",".363","118.5","4949"
"Vladimir Guerrero Jr.","Blue Jays","144","624","551","159","32","2","25","86","85","61","91","3","1",".289",".364",".489",".853",".362","56.5","19611"
"Justin Turner","","130","596","519","147","31","2","22","84","81","56","96","2","1",".284",".366",".480",".846",".362","214.6","5235"
"Charlie Blackmon","Rockies","136","608","547","159","30","6","24","83","83","48","110","6","2",".291",".354",".499",".854",".361","84.1","7859"
"Jesse Winker","Reds","118","534","460","124","24","1","23","74","71","63","103","2","1",".270",".364",".479",".844",".361","207.6","13590"
"Luke Voit","Yankees","141","612","535","141","23","1","33","87","87","63","151","0","0",".263",".350",".498",".848",".361","60.2","14811"
"Eloy Jimenez","White Sox","151","647","592","167","33","2","35","88","102","46","150","1","0",".282",".337",".523",".859",".361","33.8","17484"
"Rhys Hoskins","Phillies","141","640","533","128","27","2","32","90","91","91","149","3","1",".241",".360",".482",".842",".361","161.8","16472"
"Corey Seager","Dodgers","149","685","615","174","40","2","30","97","100","61","124","2","1",".283",".350",".499",".849",".361","37.1","13624"
"Josh Donaldson","Twins","136","585","489","121","25","2","27","84","75","86","136","3","1",".248",".365",".469",".834",".360","190.1","5038"
"Paul Goldschmidt","Cardinals","151","676","574","155","27","2","28","93","85","89","148","5","2",".269",".371",".468",".839",".360","93.9","9218"
"Manny Machado","Padres","156","707","628","171","31","2","38","97","110","69","118","10","3",".273",".346",".511",".857",".359","20.8","11493"
"Max Muncy","Dodgers","134","618","517","125","24","2","31","92","88","90","154","3","1",".243",".361",".476",".837",".359","93.7","13301"
"Pete Alonso","Mets","146","660","573","143","27","1","40","92","104","67","169","2","1",".250",".342",".511",".853",".358","57.6","19251"
"Michael Conforto","Mets","151","682","585","152","31","2","31","95","92","81","159","6","2",".260",".359",".477",".836",".358","73.0","16376"
"C.J. Cron","","110","492","442","120","24","2","26","66","75","35","110","1","0",".271",".337",".509",".846",".357","410.9","12546"
"Kris Bryant","Cubs","146","662","564","146","30","3","27","89","85","75","155","3","1",".259",".361",".468",".829",".357","129.1","15429"
"Kyle Schwarber","Nationals","126","576","495","121","22","2","34","82","91","71","154","4","1",".244",".343",".504",".848",".357","192.6","16478"
"Gleyber Torres","Yankees","149","648","573","157","29","2","30","90","88","62","135","6","2",".274",".348",".489",".837",".355","70.3","16997"
"Nicholas Castellanos","Reds","146","658","597","163","39","4","31","92","94","50","158","3","1",".273",".334",".506",".840",".355","82.1","11737"
"Nolan Arenado","Cardinals","152","683","605","164","31","2","36","90","101","67","96","2","1",".270",".343",".505",".848",".354","34.8","9777"
"Rafael Devers","Red Sox","152","653","595","164","38","2","31","91","91","50","137","6","3",".276",".335",".505",".841",".354","42.6","17350"
"Randy Arozarena","Rays","144","620","548","147","29","3","28","89","83","52","147","19","6",".269",".346",".485",".832",".354","58.3","19290"
"Nelson Cruz","Twins","133","571","511","133","25","1","34","78","89","47","145","1","0",".261",".332",".513",".845",".354","95.1","2434"
"Shohei Ohtani","Angels","115","499","440","117","24","3","22","75","65","51","133","14","4",".266",".344",".484",".829",".352","226.2","19755"
"Jose Abreu","White Sox","154","661","599","166","31","2","32","87","98","43","138","2","1",".278",".336",".497",".834",".352","37.9","15676"
"Josh Bell","Nationals","136","620","541","143","27","3","29","83","89","70","130","2","1",".264",".350",".483",".833",".352","154.1","13145"
"Trea Turner","Nationals","152","694","627","180","34","6","23","105","82","57","127","36","8",".287",".349",".472",".821",".351","7.3","16252"
"Joey Gallo","Rangers","149","631","531","116","24","2","40","88","97","88","221","6","2",".218",".336",".496",".832",".351","159.7","14128"
"Jose Altuve","Astros","154","667","598","171","31","3","23","94","85","56","108","14","5",".287",".353",".463",".816",".351","99.3","5417"
"Jorge Soler","Royals","143","605","525","129","25","1","32","79","91","67","171","2","1",".246",".339",".482",".821",".350","141.7","14221"
"DJ LeMahieu","Yankees","151","655","591","176","27","3","20","89","76","54","93","5","2",".297",".358",".453",".810",".350","26.8","9874"
"Ketel Marte","Diamondbacks","147","663","600","173","34","6","20","91","83","52","88","8","3",".289",".349",".469",".817",".350","79.5","13613"
"Mike Moustakas","Reds","146","658","588","150","29","1","38","89","100","58","121","3","1",".255",".326",".503",".830",".349","117.3","4892"
"Brandon Nimmo","Mets","117","528","441","111","22","3","16","73","56","73","123","6","2",".250",".368",".425",".793",".348","253.8","12927"
"J.T. Realmuto","Phillies","149","629","565","153","28","3","28","87","87","48","137","9","3",".270",".335",".482",".816",".347","34.1","11739"
"Max Kepler","Twins","146","627","547","137","31","3","28","86","81","68","107","5","2",".250",".338",".473",".812",".347","183.0","12144"
"Brandon Lowe","Rays","133","571","501","125","27","3","27","77","80","58","158","6","2",".250",".334",".479",".813",".347","72.3","18882"
"Joey Votto","Reds","154","695","586","152","31","2","21","91","79","97","133","3","1",".259",".367",".428",".795",".347","378.3","4314"
"Andrew McCutchen","Phillies","138","625","539","138","26","2","25","85","79","75","130","8","3",".256",".351",".450",".802",".346","194.5","9847"
"Tommy Pham","Padres","130","589","509","135","24","3","19","83","69","69","127","17","4",".266",".360",".440",".799",".346","133.1","2967"
"Yasmani Grandal","White Sox","138","549","460","107","19","1","26","73","74","81","138","2","1",".233",".350",".450",".800",".346","124.5","11368"
"Ozzie Albies","Braves","151","687","626","176","37","6","25","98","90","49","122","17","4",".281",".337",".478",".815",".346","33.3","16556"
"Matt Olson","Athletics","146","619","534","126","26","1","35","80","91","72","167","2","1",".236",".334",".483",".817",".346","87.8","14344"
"Daniel Vogelbach","Brewers","53","242","203","48","9","0","11","31","33","35","56","0","0",".238",".353",".448",".800",".346","591.5","14130"
"Bo Bichette","Blue Jays","149","645","589","166","40","3","22","92","79","46","134","20","6",".283",".337",".473",".810",".345","24.8","19612"
"Matt Chapman","Athletics","151","640","562","135","31","3","34","84","90","65","165","1","0",".241",".325",".490",".815",".345","113.2","16505"
"Eddie Rosario","Indians","128","546","505","140","26","2","27","70","83","33","83","5","2",".278",".321",".500",".821",".344","110.1","12155"
"Wander Franco","","96","411","371","108","22","3","11","52","51","34","33","7","3",".290",".351",".455",".806",".344","999.0","sa3007033"
"Greg Bird","","19","87","75","18","5","0","4","11","12","10","21","0","0",".244",".338",".467",".805",".344","597.1","14131"
"A.J. Pollock","Dodgers","130","596","539","141","28","2","30","87","87","43","130","11","3",".262",".323",".491",".814",".343","191.7","9256"
"Will Smith","Dodgers","99","415","361","88","19","1","21","58","60","43","99","2","1",".244",".333",".473",".806",".343","93.8","19197"
"Aaron Hicks","Yankees","141","612","519","126","24","2","24","85","71","85","127","6","2",".242",".350",".439",".790",".342","278.9","5297"
"Jeff McNeil","Mets","146","660","591","167","34","3","18","85","78","49","89","7","3",".282",".350",".443",".793",".342","88.5","15362"
"Austin Meadows","Rays","117","501","445","114","25","3","22","67","68","47","119","11","3",".255",".331",".474",".804",".342","96.4","15672"
"Franmil Reyes","Indians","152","649","577","147","28","1","33","82","97","63","176","0","0",".254",".329",".477",".806",".341","154.2","14566"
"Trey Mancini","Orioles","123","517","464","124","21","2","22","65","65","44","118","1","0",".267",".335",".463",".798",".341","167.9","15149"
"Brandon Belt","Giants","126","568","482","118","27","4","20","74","68","76","125","3","1",".245",".351",".439",".789",".341","405.7","10264"
"Francisco Lindor","Mets","157","711","638","171","34","2","31","98","95","59","111","19","6",".268",".333",".473",".806",".341","18.0","12916"
"Mark Canha","Athletics","147","626","533","130","27","2","23","79","72","71","140","4","1",".244",".348",".437",".785",".341","255.2","11445"
"Mitch Haniger","Mariners","136","576","502","124","24","2","25","74","72","59","140","5","2",".248",".337",".455",".792",".340","256.5","14274"
"Marcus Semien","Blue Jays","149","645","569","148","30","3","25","88","80","66","119","10","4",".259",".337",".454",".791",".340","133.4","12533"
"Willson Contreras","Cubs","117","487","425","109","21","2","18","63","59","46","118","3","1",".256",".342",".444",".787",".339","123.0","11609"
"Yoan Moncada","White Sox","147","633","557","142","27","4","25","85","77","66","182","10","3",".254",".337",".451",".788",".339","87.8","17232"
"Alex Verdugo","Red Sox","138","591","532","149","36","2","15","76","67","50","95","6","2",".280",".345",".442",".787",".339","130.0","17027"
"Joc Pederson","Cubs","133","603","521","122","25","2","30","79","84","66","142","3","1",".233",".330",".461",".791",".339","305.3","11899"
"Keston Hiura","Brewers","143","645","581","150","30","3","30","85","90","47","189","11","4",".258",".326",".471",".797",".338","69.6","20003"
"Kole Calhoun","Diamondbacks","139","627","546","134","25","3","27","83","83","69","138","4","1",".245",".335",".452",".787",".338","258.1","11200"
"Alex Dickerson","Giants","110","495","440","115","28","3","17","63","63","43","96","2","1",".261",".336",".455",".791",".337","328.4","12649"
"Cavan Biggio","Blue Jays","143","617","520","123","27","3","22","84","70","86","159","10","4",".236",".349",".422",".771",".337","65.3","19252"
"Nolan Jones","Indians","10","41","36","9","2","0","1","5","5","5","13","0","0",".248",".348",".424",".772",".336","560.2","sa917941"
"Yasiel Puig","","83","357","318","81","14","2","15","49","44","32","76","10","3",".256",".330",".452",".782",".335","289.6","14225"
"Miguel Sano","Twins","149","640","558","124","25","1","37","87","96","74","242","1","0",".222",".317",".472",".789",".335","194.1","12164"
"Yandy Diaz","Rays","107","459","398","109","18","2","10","55","48","55","81","2","1",".273",".363",".399",".762",".335","483.6","16578"
"Salvador Perez","Royals","131","517","479","124","24","1","29","62","84","24","108","1","0",".259",".303",".495",".798",".335","80.2","7304"
"J.D. Davis","Mets","120","543","481","125","25","1","20","69","68","52","128","2","1",".261",".338",".440",".778",".335","225.8","16219"
"Carlos Correa","Astros","151","653","580","150","30","1","26","84","87","64","151","3","1",".258",".335",".447",".782",".335","124.7","14162"
"Bryan Reynolds","Pirates","138","611","547","146","31","4","19","75","74","53","143","5","1",".267",".336",".441",".777",".334","311.7","19326"
"Michael Brantley","Astros","139","604","542","151","32","2","15","76","73","51","77","4","1",".279",".344",".431",".774",".334","149.0","4106"
"Wil Myers","Padres","144","655","582","142","30","2","30","91","87","64","191","17","4",".244",".323",".459",".782",".334","133.3","10047"
"Alejandro Kirk","Blue Jays","57","235","207","55","12","0","7","29","28","23","33","1","0",".265",".345",".429",".774",".334","999.0","22581"
"Trent Grisham","Padres","144","655","565","138","29","5","23","88","77","78","157","13","4",".244",".340",".432",".771",".334","69.3","18564"
"Ian Happ","Cubs","139","632","548","131","27","3","26","83","79","75","182","8","3",".240",".335",".441",".775",".334","166.2","17919"
"Rowdy Tellez","Blue Jays","100","434","389","97","21","1","21","56","61","37","100","2","1",".250",".320",".467",".787",".334","293.6","15679"
"Teoscar Hernandez","Blue Jays","147","638","572","137","27","3","35","89","93","56","192","9","3",".239",".310",".479",".789",".333","76.5","13066"
"Ji-Man Choi","Rays","107","459","393","95","21","1","17","56","57","57","109","2","1",".242",".342",".426",".769",".333","537.4","5452"
"Dominic Smith","Mets","131","594","536","139","31","1","24","75","79","47","136","3","1",".259",".325",".455",".779",".333","110.1","15653"
"Travis d'Arnaud","Braves","113","472","426","111","21","1","19","61","63","38","105","2","1",".261",".325",".452",".777",".333","137.0","7739"
"Wilmer Flores","Giants","71","320","293","80","15","1","12","39","43","21","46","1","0",".272",".324",".457",".780",".332","372.7","5827"
"Christian Walker","Diamondbacks","141","634","565","142","32","3","26","81","84","56","155","5","2",".251",".324",".456",".780",".332","204.0","13419"
"Hunter Renfroe","Red Sox","110","472","426","100","21","1","28","63","69","39","131","3","1",".235",".304",".486",".790",".332","410.6","15464"
"Brad Miller","Phillies","94","406","350","82","16","2","18","53","52","48","114","3","1",".235",".330",".443",".773",".332","589.4","12775"
"Chris Taylor","Dodgers","128","589","522","134","29","4","19","82","69","55","157","9","3",".257",".333",".440",".772",".332","215.3","13757"
"Brian Anderson","Marlins","154","682","602","153","31","2","24","82","82","62","159","3","1",".255",".335",".434",".769",".332","236.4","18289"
"Jonathan Schoop","Tigers","125","532","491","129","25","2","24","64","72","28","117","2","1",".263",".312",".467",".779",".331","401.2","11265"
"Colton Welker","Rockies","16","72","66","19","4","0","2","8","9","5","14","0","0",".284",".339",".440",".779",".331","999.0","sa917962"
"Carlos Santana","Royals","146","619","521","123","24","3","21","74","73","89","97","2","1",".237",".348",".413",".761",".331","281.4","2396"
"Jesus Aguilar","Marlins","122","539","474","119","22","1","22","63","69","53","118","0","0",".250",".330",".440",".770",".331","334.1","11342"
"Tim Anderson","White Sox","154","661","621","177","31","3","23","89","82","30","146","21","6",".284",".320",".455",".775",".331","45.3","15172"
"Derek Dietrich","Yankees","50","217","187","43","8","1","9","28","27","19","57","1","1",".231",".332",".430",".762",".331","999.0","10542"
"Luis Arraez","Twins","128","550","499","151","31","3","4","65","54","43","54","4","2",".302",".358",".399",".757",".331","393.3","18568"
"Mike Brosseau","Rays","49","209","187","48","10","1","8","26","27","16","51","2","1",".257",".326",".444",".770",".331","452.8","19683"
"Anthony Santander","Orioles","146","612","561","145","34","2","27","74","79","40","119","4","2",".258",".313",".468",".781",".330","160.1","14551"
"Yoenis Cespedes","","66","287","259","62","11","1","15","37","42","23","75","2","1",".241",".309",".470",".780",".330","600.3","13110"
"Ramon Laureano","Athletics","149","633","557","137","29","4","23","82","71","56","166","12","3",".246",".328",".436",".763",".330","147.4","17128"
"Justin Upton","Angels","131","569","498","116","21","1","28","75","76","60","163","4","1",".233",".322",".445",".767",".330","395.6","5222"
"Randal Grichuk","Blue Jays","96","413","379","93","20","2","21","55","59","28","101","2","1",".246",".302",".479",".781",".330","223.1","10243"
"Asdrubal Cabrera","","76","343","305","79","17","1","12","42","44","29","67","1","0",".259",".327",".442",".768",".330","524.6","4962"
"Kyle Tucker","Astros","151","653","586","147","34","4","26","92","84","56","148","22","5",".251",".319",".457",".777",".329","31.1","18345"
"Hunter Dozier","Royals","144","612","544","134","30","4","23","75","77","60","158","5","2",".247",".325",".443",".767",".329","240.1","15117"
"Whit Merrifield","Royals","154","653","600","169","35","5","15","83","74","42","103","23","7",".282",".333",".433",".766",".329","41.8","11281"
"Gary Sanchez","Yankees","94","373","328","73","13","0","22","49","54","36","110","1","0",".222",".310",".464",".774",".329","166.1","11442"
"Cesar Hernandez","Indians","131","560","498","138","23","4","10","69","55","53","103","6","2",".276",".350",".402",".752",".329","376.4","10556"
"Nate Lowe","Rangers","126","535","470","118","24","1","19","63","62","57","138","1","1",".251",".336",".428",".763",".329","340.6","19566"
"Paul DeJong","Cardinals","149","669","597","148","32","1","29","84","86","55","162","5","2",".247",".320",".450",".769",".329","227.6","18015"
"Jared Walsh","Angels","109","470","422","102","22","1","21","60","64","41","131","1","0",".243",".316",".455",".771",".329","208.5","18607"
"David Peralta","Diamondbacks","133","598","541","146","27","5","17","75","70","47","120","2","1",".270",".333",".432",".765",".329","273.4","2136"
"Ryan Braun","","71","308","279","73","14","1","12","41","39","22","64","6","2",".260",".320",".448",".768",".329","592.0","3410"
"Ke'Bryan Hayes","Pirates","136","603","541","144","32","4","16","73","68","51","120","9","2",".266",".334",".430",".763",".329","146.3","18577"
"Starling Marte","Marlins","146","646","591","164","29","4","18","85","69","34","117","28","6",".277",".331",".430",".761",".328","49.6","9241"
"Garrett Cooper","Marlins","47","208","188","50","10","0","7","24","25","17","50","0","0",".265",".330",".431",".760",".328","461.6","15279"
"Didi Gregorius","Phillies","139","633","578","152","27","3","27","79","86","40","91","8","2",".263",".315",".458",".773",".327","162.3","6012"
"Tommy La Stella","Giants","104","466","411","110","23","2","10","56","50","44","46","1","0",".268",".342",".407",".749",".327","321.4","12371"
"Matt Carpenter","Cardinals","81","364","306","68","17","1","13","45","43","50","95","2","1",".223",".337",".414",".752",".327","586.5","8090"
"Eduardo Escobar","Diamondbacks","141","634","575","149","31","6","23","78","83","48","119","3","1",".259",".317",".456",".773",".327","313.8","6153"
"Ty France","Mariners","107","452","402","101","20","1","16","52","54","32","95","2","1",".252",".327",".428",".755",".327","350.0","17982"
"Clint Frazier","Yankees","138","598","532","130","28","3","24","79","71","55","160","6","2",".244",".321",".439",".761",".326","184.1","15983"
"Jorge Polanco","Twins","125","536","484","130","27","4","14","67","58","42","88","6","3",".269",".329",".429",".758",".326","223.8","13152"
"Dansby Swanson","Braves","149","679","605","156","33","3","22","89","80","61","160","11","4",".258",".329",".432",".760",".326","107.9","18314"
"Adam Eaton","White Sox","125","535","465","121","21","4","11","67","50","53","95","8","3",".260",".346",".392",".738",".325","376.1","11205"
"Avisail Garcia","Brewers","136","616","557","147","25","3","20","75","74","45","141","8","4",".264",".328",".426",".754",".325","324.4","5760"
"Nick Solak","Rangers","128","542","484","127","22","2","15","65","57","47","113","8","3",".263",".334",".413",".747",".325","174.9","19294"
"Byron Buxton","Twins","136","585","536","132","28","5","27","83","72","37","159","20","4",".247",".301",".470",".770",".325","114.1","14161"
"Lourdes Gurriel Jr.","Blue Jays","136","589","543","142","27","2","25","76","78","33","131","7","2",".261",".309",".455",".764",".325","86.8","19238"
"Mike Yastrzemski","Giants","149","669","589","141","33","5","23","86","79","69","171","6","2",".239",".324",".432",".755",".325","136.5","14854"
"Austin Slater","Giants","66","298","262","67","13","1","7","39","30","30","77","6","2",".255",".341",".398",".739",".324","470.8","16153"
"Austin Riley","Braves","141","642","585","146","31","2","29","81","90","46","181","2","1",".249",".310",".457",".766",".324","210.9","18360"
"Kolten Wong","Brewers","130","587","511","134","24","4","11","72","55","53","90","15","6",".263",".347",".392",".739",".323","333.5","12532"
"Kyle Seager","Mariners","149","630","555","133","29","1","25","72","78","62","111","4","2",".240",".322",".433",".754",".323","273.1","9785"
"Luis Robert","White Sox","149","640","584","146","29","4","27","86","79","43","185","20","5",".250",".310",".449",".759",".323","36.8","20043"
"Corey Dickerson","Marlins","128","567","522","140","29","4","17","66","68","37","103","5","2",".268",".319",".440",".759",".323","403.0","10762"
"Mitch Garver","Twins","76","299","264","61","13","1","13","38","38","30","87","0","0",".230",".314",".438",".752",".323","198.8","15161"
"Alec Bohm","Phillies","139","633","571","152","28","3","18","77","75","51","122","5","2",".266",".330",".419",".749",".323","999.0","21618"
"Luis Campusano","Padres","16","69","63","17","3","0","2","8","9","5","10","0","0",".270",".331",".419",".749",".323","999.0","22217"
"Renato Nunez","","104","442","398","97","20","1","20","52","58","34","108","1","0",".243",".309",".447",".756",".323","453.4","14503"
"Yoshitomo Tsutsugo","Rays","50","216","186","42","9","0","9","26","28","27","63","0","0",".223",".323",".424",".748",".323","507.9","27459"
"Javier Baez","Cubs","154","698","651","169","32","4","32","91","96","35","194","14","5",".259",".301",".466",".768",".323","74.8","12979"
"Nick Senzel","Reds","115","519","470","120","30","3","17","70","59","41","124","15","4",".255",".318",".436",".754",".323","288.7","19293"
"Edwin Encarnacion","","55","238","208","46","8","0","12","30","33","25","60","1","0",".220",".310",".441",".751",".323","579.5","2151"
"Ryan Mountcastle","Orioles","138","578","537","143","30","2","22","67","71","32","137","3","1",".266",".311",".448",".759",".323","146.8","18373"
"Khris Davis","Rangers","76","322","285","65","11","1","16","38","44","31","90","0","0",".228",".311",".444",".755",".322","510.2","9112"
"Starlin Castro","Nationals","121","554","513","141","24","1","19","66","72","32","100","2","1",".275",".318",".437",".755",".322","362.1","4579"
"Jedd Gyorko","","53","231","204","48","7","0","11","28","31","23","57","1","0",".236",".316",".433",".749",".322","588.9","10816"
"Shin-Soo Choo","","76","329","281","66","13","1","9","41","34","40","86","4","2",".234",".341",".388",".728",".322","546.3","3174"
"Tim Locastro","Diamondbacks","79","357","315","80","18","3","7","48","32","23","68","15","3",".256",".336",".395",".731",".322","563.7","15124"
"Jeimer Candelario","Tigers","139","594","523","125","29","3","19","70","67","60","140","3","1",".240",".324",".419",".743",".322","259.7","13621"
"Andrew Benintendi","Royals","131","557","486","123","26","4","13","66","57","59","110","10","3",".252",".337",".400",".737",".321","225.7","17901"
"Ian Desmond","Rockies","102","456","411","106","20","3","15","59","52","34","114","10","3",".258",".318",".429",".748",".321","559.8","6885"
"Mike Ford","Yankees","6","28","25","6","1","0","1","3","3","3","5","0","0",".233",".321",".425",".746",".321","600.1","15585"
"Ryan McMahon","Rockies","125","557","499","121","26","3","21","69","70","51","171","3","1",".242",".315",".433",".748",".321","234.1","15112"
"Alexander Kirilloff","Twins","97","418","385","104","23","3","11","50","49","26","86","3","1",".269",".319",".430",".749",".321","999.0","sa917929"
"Kurt Suzuki","Angels","66","263","233","59","11","0","9","31","33","18","38","1","0",".252",".318",".425",".743",".320","445.0","8259"
"Eric Hosmer","Padres","147","670","608","160","25","2","22","81","82","54","143","6","2",".262",".324",".419",".743",".320","142.7","3516"
"Colin Moran","Pirates","141","625","564","144","28","1","21","69","78","51","141","1","0",".256",".321",".422",".743",".319","438.6","16909"
"Adam Frazier","Pirates","122","539","486","130","26","4","10","62","56","41","76","7","3",".268",".332",".401",".733",".319","489.6","15223"
"Jean Segura","Phillies","139","633","577","160","26","3","15","79","69","39","98","14","4",".277",".329",".409",".737",".319","190.2","5933"
"Bobby Dalbec","Red Sox","126","542","477","105","22","1","26","69","71","53","197","2","1",".221",".309",".436",".745",".318","301.9","19966"
"Mitch Moreland","","105","455","401","92","17","1","20","54","60","46","107","1","0",".230",".313",".428",".741",".318","566.8","3086"
"Keibert Ruiz","Dodgers","8","34","31","9","2","0","1","4","4","2","3","0","0",".274",".327",".411",".737",".318","596.4","19610"
"Lorenzo Cain","Brewers","139","631","564","151","29","2","10","76","61","56","108","17","4",".268",".340",".381",".722",".318","253.0","9077"
"Willy Adames","Rays","131","564","504","124","24","2","19","68","66","52","165","6","2",".245",".318",".418",".736",".318","370.7","15986"
"Brian Dozier","","41","175","151","33","7","0","7","22","21","21","42","2","1",".219",".318",".414",".732",".318","999.0","9810"
"Miguel Cabrera","Tigers","143","608","544","141","25","1","17","66","69","55","123","1","0",".259",".329",".404",".734",".317","518.8","1744"
"Jordan Luplow","Indians","65","276","242","57","13","1","9","33","32","29","63","3","1",".234",".322",".412",".734",".317","999.0","16424"
"Jeter Downs","Red Sox","10","42","37","9","2","0","1","5","5","4","9","1","0",".242",".313",".428",".741",".317","540.6","sa3004615"
"Matt Joyce","","19","88","76","18","4","0","3","10","10","11","21","0","0",".234",".333",".388",".721",".317","999.0","3353"
"Jason Heyward","Cubs","130","588","513","126","22","3","15","70","61","64","110","4","2",".246",".334",".391",".725",".317","472.0","4940"
"Jose Martinez","Mets","19","88","79","21","4","0","2","10","10","8","19","0","0",".261",".329",".400",".729",".317","599.7","7996"
"D.J. Stewart","Orioles","92","388","336","75","15","1","15","47","42","42","99","4","1",".224",".320",".409",".729",".317","544.8","17766"
"Steven Souza Jr.","","40","176","152","34","6","0","7","23","21","20","54","3","1",".224",".321",".405",".726",".317","999.0","5667"
"Jake Bauers","Indians","34","145","126","30","7","0","4","18","16","17","36","3","1",".235",".327",".399",".726",".317","582.6","15194"
"Kyle Lewis","Mariners","149","630","562","135","25","2","23","74","73","61","185","5","2",".241",".316",".417",".734",".317","140.4","19508"
"Tommy Edman","Cardinals","118","531","484","128","24","5","12","68","53","37","95","13","4",".264",".321",".410",".731",".317","131.9","19470"
"Gavin Lux","Dodgers","105","484","437","110","22","3","14","64","56","42","114","7","2",".251",".319",".414",".733",".316","250.8","19955"
"Josh Naylor","Indians","113","484","437","113","24","2","13","54","56","39","81","3","1",".258",".323",".410",".733",".316","449.6","18839"
"Daulton Varsho","Diamondbacks","66","292","263","64","14","3","9","38","32","23","62","6","1",".246",".314",".421",".735",".316","155.0","19918"
"David Fletcher","Angels","147","639","580","162","30","3","8","76","61","49","67","8","2",".279",".337",".383",".720",".316","227.1","17992"
"Buster Posey","Giants","120","500","441","119","21","1","9","56","53","46","75","2","1",".269",".341",".382",".723",".316","246.1","9166"
"Tyler O'Neill","Cardinals","131","589","530","123","25","2","27","74","76","49","180","7","2",".232",".302",".439",".741",".316","458.3","15711"
"Raimel Tapia","Rockies","131","586","543","150","31","7","9","73","58","36","117","15","4",".277",".324",".407",".731",".316","251.5","14350"
"Travis Shaw","","73","330","287","64","12","1","14","38","43","37","85","2","1",".223",".315",".417",".732",".316","564.2","11982"
"Shogo Akiyama","Reds","102","461","409","105","22","2","8","57","43","45","96","7","4",".256",".334",".383",".717",".315","446.1","27461"
"Dylan Carlson","Cardinals","136","611","548","134","30","4","19","75","68","52","144","9","3",".246",".317",".415",".732",".315","999.0","20126"
"Jurickson Profar","Padres","105","478","425","104","22","2","14","58","54","42","74","8","3",".244",".321",".405",".726",".315","251.4","10815"
"Robbie Grossman","Tigers","128","545","471","115","23","3","11","63","50","65","102","8","3",".244",".339",".376",".715",".315","391.6","5254"
"Brendan Rodgers","Rockies","115","514","473","124","28","2","14","59","61","29","119","4","1",".262",".313",".421",".734",".315","454.0","17907"
"Yuli Gurriel","Astros","146","632","588","158","35","2","18","75","78","32","79","5","1",".268",".310",".426",".736",".315","305.3","19198"
"Giovanny Urshela","Yankees","143","619","567","148","28","1","19","72","72","41","105","1","0",".261",".315",".415",".731",".315","161.2","10681"
